datetime,IDEXBUSD_open,IDEXBUSD_high,IDEXBUSD_low,IDEXBUSD_close
2022-03-03 22:00:00,0.15938,0.15962,0.15838,0.15939
2022-03-03 23:00:00,0.15915,0.15945,0.1577,0.15921
2022-03-04 00:00:00,0.15898,0.15927,0.15759,0.15811
2022-03-04 01:00:00,0.15817,0.15956,0.15817,0.15935
2022-03-04 02:00:00,0.15937,0.15978,0.15877,0.15977
2022-03-04 03:00:00,0.15975,0.16061,0.15648,0.15917
2022-03-04 04:00:00,0.15882,0.1606,0.1579,0.15881
2022-03-04 05:00:00,0.15901,0.16178,0.15888,0.16159
2022-03-04 06:00:00,0.16159,0.16185,0.16034,0.16073
2022-03-04 07:00:00,0.161,0.1613,0.15947,0.1601
2022-03-04 08:00:00,0.15983,0.16109,0.15917,0.16025
2022-03-04 09:00:00,0.16024,0.16102,0.15818,0.16061
2022-03-04 10:00:00,0.16065,0.161,0.15759,0.15767
2022-03-04 11:00:00,0.15759,0.15824,0.15572,0.15708
2022-03-04 12:00:00,0.15681,0.159,0.15664,0.15854
2022-03-04 13:00:00,0.15825,0.1586,0.15614,0.15692
2022-03-04 14:00:00,0.15715,0.15729,0.15126,0.15151
2022-03-04 15:00:00,0.15155,0.15255,0.15024,0.15144
2022-03-04 16:00:00,0.1516,0.15311,0.1505,0.15229
2022-03-04 17:00:00,0.15203,0.15244,0.15006,0.15217
2022-03-04 18:00:00,0.15158,0.1525,0.15084,0.15215
2022-03-04 19:00:00,0.15188,0.15198,0.14772,0.14792
2022-03-04 20:00:00,0.14792,0.14932,0.14716,0.14875
2022-03-04 21:00:00,0.14862,0.14947,0.14747,0.14797
2022-03-04 22:00:00,0.14786,0.14964,0.14733,0.14885
2022-03-04 23:00:00,0.14902,0.14905,0.1472,0.14787
2022-03-05 00:00:00,0.14758,0.14925,0.14758,0.14911
2022-03-05 01:00:00,0.14924,0.15321,0.14911,0.1525
2022-03-05 02:00:00,0.15251,0.15279,0.1513,0.15168
2022-03-05 03:00:00,0.15182,0.15215,0.15022,0.15144
2022-03-05 04:00:00,0.15104,0.1519,0.15089,0.1509
2022-03-05 05:00:00,0.15106,0.1524,0.15002,0.15118
2022-03-05 06:00:00,0.1511,0.15155,0.15067,0.15128
2022-03-05 07:00:00,0.151,0.15743,0.15097,0.15389
2022-03-05 08:00:00,0.1538,0.15579,0.152,0.15494
2022-03-05 09:00:00,0.15513,0.15513,0.15258,0.15341
2022-03-05 10:00:00,0.15359,0.15359,0.15205,0.15238
2022-03-05 11:00:00,0.15255,0.16207,0.15255,0.15637
2022-03-05 12:00:00,0.15602,0.16078,0.15602,0.15743
2022-03-05 13:00:00,0.15731,0.15787,0.15622,0.15725
2022-03-05 14:00:00,0.1572,0.1574,0.156,0.15708
2022-03-05 15:00:00,0.15722,0.16004,0.15669,0.15747
2022-03-05 16:00:00,0.15743,0.16342,0.1573,0.1583
2022-03-05 17:00:00,0.15847,0.16191,0.15712,0.15921
2022-03-05 18:00:00,0.15912,0.15939,0.15826,0.15929
2022-03-05 19:00:00,0.15937,0.16087,0.15858,0.16087
2022-03-05 20:00:00,0.16083,0.16083,0.15853,0.15853
2022-03-05 21:00:00,0.15853,0.15882,0.1577,0.15782
2022-03-05 22:00:00,0.15776,0.15809,0.15607,0.1564
2022-03-05 23:00:00,0.15652,0.15883,0.15575,0.157
2022-03-06 00:00:00,0.15688,0.15779,0.15644,0.15666
2022-03-06 01:00:00,0.15666,0.1573,0.15574,0.15603
2022-03-06 02:00:00,0.15603,0.15615,0.15446,0.15464
2022-03-06 03:00:00,0.1546,0.1546,0.15282,0.15282
2022-03-06 04:00:00,0.15263,0.15297,0.15001,0.15001
2022-03-06 05:00:00,0.15009,0.15009,0.14742,0.14835
2022-03-06 06:00:00,0.14817,0.14982,0.14763,0.14921
2022-03-06 07:00:00,0.1494,0.15058,0.14874,0.14999
2022-03-06 08:00:00,0.14999,0.15221,0.1498,0.15159
2022-03-06 09:00:00,0.15166,0.15214,0.15019,0.15141
2022-03-06 10:00:00,0.15158,0.15173,0.1501,0.15119
2022-03-06 11:00:00,0.15087,0.15244,0.15054,0.1519
2022-03-06 12:00:00,0.15211,0.15211,0.15096,0.15156
2022-03-06 13:00:00,0.15156,0.15732,0.15035,0.152
2022-03-06 14:00:00,0.15226,0.15325,0.14963,0.14963
2022-03-06 15:00:00,0.14977,0.15759,0.14977,0.1513
2022-03-06 16:00:00,0.15105,0.15232,0.1506,0.15175
2022-03-06 17:00:00,0.15204,0.15296,0.15145,0.15145
2022-03-06 18:00:00,0.15145,0.15147,0.148,0.14892
2022-03-06 19:00:00,0.14923,0.14933,0.14706,0.14739
2022-03-06 20:00:00,0.14747,0.14796,0.14624,0.14659
2022-03-06 21:00:00,0.1466,0.1486,0.14542,0.1468
2022-03-06 22:00:00,0.14647,0.14762,0.14537,0.14648
