datetime,FTMBUSD_open,FTMBUSD_high,FTMBUSD_low,FTMBUSD_close
2022-01-28 16:00:00,2.1294,2.16,2.1248,2.1314
2022-01-28 17:00:00,2.1316,2.1622,2.1045,2.1067
2022-01-28 18:00:00,2.109,2.1361,2.109,2.1264
2022-01-28 19:00:00,2.1267,2.1657,2.1172,2.1512
2022-01-28 20:00:00,2.1521,2.1569,2.1095,2.1261
2022-01-28 21:00:00,2.1262,2.1438,2.114,2.1202
2022-01-28 22:00:00,2.1207,2.1451,2.1196,2.1323
2022-01-28 23:00:00,2.1309,2.1473,2.1305,2.1421
2022-01-29 00:00:00,2.1418,2.1418,2.1084,2.1195
2022-01-29 01:00:00,2.1198,2.1384,2.1123,2.1358
2022-01-29 02:00:00,2.1352,2.1591,2.1285,2.1568
2022-01-29 03:00:00,2.1573,2.1821,2.1518,2.1604
2022-01-29 04:00:00,2.1566,2.1688,2.1341,2.1622
2022-01-29 05:00:00,2.1623,2.1624,2.1281,2.1418
2022-01-29 06:00:00,2.1427,2.1448,2.1301,2.1421
2022-01-29 07:00:00,2.142,2.1586,2.1303,2.1538
2022-01-29 08:00:00,2.1526,2.1897,2.1456,2.1887
2022-01-29 09:00:00,2.1887,2.193,2.135,2.1405
2022-01-29 10:00:00,2.14,2.1508,2.1052,2.1223
2022-01-29 11:00:00,2.1192,2.1262,2.0827,2.1139
2022-01-29 12:00:00,2.1135,2.1355,2.1107,2.1246
2022-01-29 13:00:00,2.1245,2.1458,2.1109,2.1345
2022-01-29 14:00:00,2.1349,2.1479,2.1308,2.1393
2022-01-29 15:00:00,2.1395,2.1738,2.1326,2.1527
2022-01-29 16:00:00,2.1535,2.1675,2.1177,2.1187
2022-01-29 17:00:00,2.1198,2.1239,2.0957,2.1065
2022-01-29 18:00:00,2.106,2.1066,2.073,2.0966
2022-01-29 19:00:00,2.0977,2.109,2.0531,2.0679
2022-01-29 20:00:00,2.0676,2.0906,2.066,2.0872
2022-01-29 21:00:00,2.0873,2.0985,2.0765,2.0984
2022-01-29 22:00:00,2.0984,2.12,2.0966,2.1104
2022-01-29 23:00:00,2.1098,2.13,2.0974,2.1283
2022-01-30 00:00:00,2.1274,2.1484,2.1243,2.142
