datetime,PLAUSD_open,PLAUSD_high,PLAUSD_low,PLAUSD_close
2022-01-14 05:00:00,1.1272,1.1332,1.1199,1.1325
2022-01-14 06:00:00,1.132,1.1464,1.1275,1.134
2022-01-14 07:00:00,1.1341,1.1436,1.124,1.1255
2022-01-14 08:00:00,1.1239,1.1257,1.1141,1.1157
2022-01-14 09:00:00,1.1158,1.124,1.115,1.1179
2022-01-14 10:00:00,1.1199,1.1199,1.1058,1.1058
2022-01-14 11:00:00,1.1057,1.1063,1.0834,1.0978
2022-01-14 12:00:00,1.0951,1.098,1.0842,1.0842
2022-01-14 13:00:00,1.0864,1.0975,1.0848,1.087
2022-01-14 14:00:00,1.0846,1.1095,1.0825,1.1035
2022-01-14 15:00:00,1.1061,1.1186,1.0991,1.1161
2022-01-14 16:00:00,1.1135,1.1161,1.1026,1.113
2022-01-14 17:00:00,1.1161,1.1183,1.1063,1.1097
2022-01-14 18:00:00,1.1116,1.1185,1.1092,1.1181
2022-01-14 19:00:00,1.1185,1.1238,1.1142,1.1198
2022-01-14 20:00:00,1.1198,1.1276,1.1198,1.1276
2022-01-14 21:00:00,1.1276,1.1365,1.1256,1.1365
2022-01-14 22:00:00,1.1346,1.1407,1.1267,1.1342
2022-01-14 23:00:00,1.1364,1.14,1.1262,1.1298
2022-01-15 00:00:00,1.127,1.1274,1.1152,1.126
2022-01-15 01:00:00,1.1252,1.1296,1.1144,1.1192
2022-01-15 02:00:00,1.1194,1.1249,1.1167,1.1247
2022-01-15 03:00:00,1.1251,1.1273,1.1144,1.1197
2022-01-15 04:00:00,1.1196,1.1207,1.1107,1.1145
2022-01-15 05:00:00,1.1118,1.1185,1.1096,1.1128
2022-01-15 06:00:00,1.1165,1.1182,1.1126,1.1148
2022-01-15 07:00:00,1.1148,1.1214,1.1125,1.1158
2022-01-15 08:00:00,1.1158,1.1212,1.1141,1.1171
2022-01-15 09:00:00,1.1171,1.1216,1.1092,1.1195
2022-01-15 10:00:00,1.1181,1.1293,1.1153,1.1153
2022-01-15 11:00:00,1.1146,1.1225,1.1144,1.1225
2022-01-15 12:00:00,1.1235,1.1258,1.1082,1.1114
2022-01-15 13:00:00,1.1086,1.1225,1.1084,1.12
2022-01-15 14:00:00,1.1194,1.1283,1.1184,1.1242
2022-01-15 15:00:00,1.1245,1.1283,1.1215,1.1283
2022-01-15 16:00:00,1.1258,1.1297,1.1217,1.1292
2022-01-15 17:00:00,1.129,1.1312,1.124,1.1288
2022-01-15 18:00:00,1.1293,1.1308,1.1244,1.1281
2022-01-15 19:00:00,1.1306,1.1317,1.1276,1.1297
2022-01-15 20:00:00,1.1295,1.1412,1.1293,1.1367
2022-01-15 21:00:00,1.1356,1.1408,1.1267,1.1356
2022-01-15 22:00:00,1.1365,1.1368,1.1234,1.1234
2022-01-15 23:00:00,1.1256,1.13,1.1207,1.1215
2022-01-16 00:00:00,1.1212,1.1375,1.1189,1.1255
2022-01-16 01:00:00,1.1232,1.1262,1.1195,1.1214
2022-01-16 02:00:00,1.1219,1.1226,1.1095,1.1161
2022-01-16 03:00:00,1.1126,1.12,1.1077,1.115
2022-01-16 04:00:00,1.1176,1.1209,1.1101,1.1173
2022-01-16 05:00:00,1.1141,1.1216,1.1113,1.118
2022-01-16 06:00:00,1.118,1.1225,1.1171,1.1175
2022-01-16 07:00:00,1.1209,1.1599,1.1195,1.1292
2022-01-16 08:00:00,1.1271,1.1271,1.1195,1.1195
2022-01-16 09:00:00,1.122,1.1253,1.12,1.1232
2022-01-16 10:00:00,1.1237,1.1285,1.11,1.11
2022-01-16 11:00:00,1.1095,1.1171,1.1087,1.1143
2022-01-16 12:00:00,1.114,1.1158,1.1102,1.1158
2022-01-16 13:00:00,1.1127,1.1295,1.1077,1.1243
2022-01-16 14:00:00,1.126,1.1293,1.1193,1.1256
2022-01-16 15:00:00,1.1271,1.1277,1.1181,1.1235
2022-01-16 16:00:00,1.1235,1.1477,1.1216,1.1381
2022-01-16 17:00:00,1.1422,1.1432,1.1289,1.1317
2022-01-16 18:00:00,1.1304,1.133,1.1266,1.1315
2022-01-16 19:00:00,1.1315,1.1315,1.1207,1.1208
2022-01-16 20:00:00,1.1242,1.1246,1.1187,1.1235
2022-01-16 21:00:00,1.1239,1.124,1.1201,1.1219
2022-01-16 22:00:00,1.1235,1.1357,1.1216,1.1306
2022-01-16 23:00:00,1.1309,1.1342,1.1238,1.1296
2022-01-17 00:00:00,1.1273,1.1273,1.1137,1.1156
2022-01-17 01:00:00,1.1167,1.123,1.1137,1.1216
2022-01-17 02:00:00,1.1222,1.124,1.1132,1.1161
2022-01-17 03:00:00,1.1168,1.1198,1.0821,1.0919
2022-01-17 04:00:00,1.0915,1.0958,1.0859,1.0859
2022-01-17 05:00:00,1.0836,1.085,1.0704,1.084
2022-01-17 06:00:00,1.0815,1.0914,1.0783,1.0879
2022-01-17 07:00:00,1.0874,1.0941,1.083,1.0832
2022-01-17 08:00:00,1.0862,1.0879,1.0769,1.0879
2022-01-17 09:00:00,1.0873,1.0936,1.082,1.0861
2022-01-17 10:00:00,1.0871,1.0922,1.0845,1.0913
2022-01-17 11:00:00,1.09,1.0915,1.0835,1.0864
2022-01-17 12:00:00,1.0824,1.0865,1.0741,1.0796
2022-01-17 13:00:00,1.0798,1.086,1.0779,1.0847
2022-01-17 14:00:00,1.0838,1.0902,1.0827,1.0864
2022-01-17 15:00:00,1.0849,1.0858,1.078,1.0803
2022-01-17 16:00:00,1.0803,1.0832,1.0649,1.0649
2022-01-17 17:00:00,1.0654,1.0727,1.0561,1.06
2022-01-17 18:00:00,1.0577,1.0661,1.0542,1.0642
2022-01-17 19:00:00,1.0637,1.069,1.0611,1.0654
2022-01-17 20:00:00,1.065,1.0659,1.0607,1.0626
2022-01-17 21:00:00,1.0656,1.0656,1.0475,1.0494
2022-01-17 22:00:00,1.0514,1.0724,1.0491,1.065
2022-01-17 23:00:00,1.065,1.0748,1.0649,1.0668
2022-01-18 00:00:00,1.0637,1.0755,1.0637,1.0719
2022-01-18 01:00:00,1.0679,1.0726,1.0621,1.0656
2022-01-18 02:00:00,1.063,1.065,1.0497,1.0586
2022-01-18 03:00:00,1.0552,1.0599,1.0406,1.0449
2022-01-18 04:00:00,1.0458,1.0458,1.037,1.0396
2022-01-18 05:00:00,1.0398,1.0466,1.0397,1.0431
2022-01-18 06:00:00,1.0469,1.048,1.0398,1.0477
2022-01-18 07:00:00,1.0481,1.0488,1.0244,1.0246
2022-01-18 08:00:00,1.027,1.0288,1.012,1.0125
2022-01-18 09:00:00,1.0137,1.0167,0.9972,1.0133
2022-01-18 10:00:00,1.0102,1.0154,1.0073,1.0105
2022-01-18 11:00:00,1.0112,1.0117,1.001,1.0102
2022-01-18 12:00:00,1.0124,1.015,1.0048,1.015
2022-01-18 13:00:00,1.0156,1.0156,0.9982,1.0051
