datetime,ONEBUSD_open,ONEBUSD_high,ONEBUSD_low,ONEBUSD_close
2022-01-13 17:00:00,0.35539,0.3577,0.34437,0.35148
2022-01-13 18:00:00,0.35116,0.35459,0.34676,0.34935
2022-01-13 19:00:00,0.34943,0.37115,0.34335,0.36883
2022-01-13 20:00:00,0.36867,0.3721,0.3646,0.36555
2022-01-13 21:00:00,0.36561,0.36705,0.35454,0.3644
2022-01-13 22:00:00,0.36447,0.36962,0.3629,0.36941
2022-01-13 23:00:00,0.36915,0.37085,0.36046,0.36076
2022-01-14 00:00:00,0.36114,0.36464,0.35515,0.36464
2022-01-14 01:00:00,0.36464,0.36723,0.35932,0.36159
2022-01-14 02:00:00,0.36164,0.36227,0.34957,0.35458
2022-01-14 03:00:00,0.3547,0.36442,0.34545,0.36387
2022-01-14 04:00:00,0.364,0.36668,0.35383,0.35499
2022-01-14 05:00:00,0.35459,0.35683,0.34666,0.35142
2022-01-14 06:00:00,0.35142,0.36351,0.34755,0.36322
2022-01-14 07:00:00,0.36297,0.365,0.35557,0.35743
2022-01-14 08:00:00,0.35742,0.36308,0.35317,0.35555
2022-01-14 09:00:00,0.3552,0.3622,0.35092,0.35935
2022-01-14 10:00:00,0.35935,0.37235,0.35591,0.37037
2022-01-14 11:00:00,0.37018,0.37885,0.36421,0.37867
2022-01-14 12:00:00,0.37885,0.37898,0.37034,0.37226
2022-01-14 13:00:00,0.3723,0.37604,0.36865,0.3731
2022-01-14 14:00:00,0.3731,0.3734,0.36005,0.36022
2022-01-14 15:00:00,0.3602,0.364,0.3552,0.35727
2022-01-14 16:00:00,0.3573,0.36314,0.3572,0.3572
2022-01-14 17:00:00,0.35749,0.35983,0.35304,0.35863
2022-01-14 18:00:00,0.35874,0.361,0.352,0.35571
2022-01-14 19:00:00,0.35592,0.35619,0.3469,0.35142
2022-01-14 20:00:00,0.35168,0.35289,0.34636,0.34937
2022-01-14 21:00:00,0.34937,0.35046,0.343,0.3458
2022-01-14 22:00:00,0.3458,0.347,0.34402,0.3452
2022-01-14 23:00:00,0.34505,0.3453,0.34177,0.34452
2022-01-15 00:00:00,0.34421,0.34487,0.34,0.34267
2022-01-15 01:00:00,0.34254,0.34972,0.34093,0.34718
2022-01-15 02:00:00,0.34748,0.3494,0.34578,0.34709
2022-01-15 03:00:00,0.34725,0.34805,0.34222,0.34422
2022-01-15 04:00:00,0.34408,0.35133,0.34408,0.34924
2022-01-15 05:00:00,0.34923,0.35212,0.34691,0.34691
2022-01-15 06:00:00,0.34698,0.34901,0.34258,0.34371
2022-01-15 07:00:00,0.34386,0.34553,0.33654,0.33918
2022-01-15 08:00:00,0.3392,0.34059,0.33732,0.3404
2022-01-15 09:00:00,0.34,0.34257,0.33811,0.34057
2022-01-15 10:00:00,0.34078,0.34253,0.33773,0.34202
2022-01-15 11:00:00,0.34219,0.34336,0.33855,0.34041
2022-01-15 12:00:00,0.34043,0.341,0.3384,0.339
2022-01-15 13:00:00,0.33911,0.33979,0.33515,0.33756
2022-01-15 14:00:00,0.33745,0.34158,0.33685,0.34121
2022-01-15 15:00:00,0.34144,0.34219,0.338,0.33845
2022-01-15 16:00:00,0.33822,0.3414,0.338,0.34001
2022-01-15 17:00:00,0.33999,0.34305,0.33886,0.34242
2022-01-15 18:00:00,0.34242,0.3441,0.3382,0.33838
2022-01-15 19:00:00,0.33871,0.33873,0.3311,0.33265
2022-01-15 20:00:00,0.3327,0.33444,0.32828,0.32951
2022-01-15 21:00:00,0.32948,0.33088,0.32222,0.32524
2022-01-15 22:00:00,0.32539,0.32994,0.32295,0.32791
2022-01-15 23:00:00,0.32782,0.33451,0.32782,0.33409
2022-01-16 00:00:00,0.3342,0.33431,0.33,0.33273
2022-01-16 01:00:00,0.33256,0.33463,0.3308,0.33454
2022-01-16 02:00:00,0.33443,0.33443,0.32874,0.3335
2022-01-16 03:00:00,0.3335,0.35345,0.3335,0.3502
2022-01-16 04:00:00,0.35022,0.353,0.34425,0.34822
2022-01-16 05:00:00,0.34814,0.35087,0.34579,0.34662
2022-01-16 06:00:00,0.34677,0.35756,0.34449,0.35627
2022-01-16 07:00:00,0.35629,0.35736,0.35029,0.3525
2022-01-16 08:00:00,0.3525,0.355,0.34689,0.35375
2022-01-16 09:00:00,0.35357,0.35546,0.35109,0.35317
2022-01-16 10:00:00,0.35323,0.35331,0.3475,0.3505
2022-01-16 11:00:00,0.35058,0.35297,0.34816,0.349
2022-01-16 12:00:00,0.34928,0.34986,0.343,0.34515
2022-01-16 13:00:00,0.34593,0.3477,0.34362,0.34608
2022-01-16 14:00:00,0.34592,0.35092,0.3447,0.34783
2022-01-16 15:00:00,0.3482,0.3482,0.34032,0.34153
2022-01-16 16:00:00,0.34152,0.34257,0.3375,0.34119
