datetime,COMPUSD_open,COMPUSD_high,COMPUSD_low,COMPUSD_close
2022-03-05 21:00:00,109.9,110.04,109.1,109.25
2022-03-05 22:00:00,109.26,109.91,109.0,109.91
2022-03-05 23:00:00,109.91,109.91,109.35,109.54
2022-03-06 00:00:00,109.58,110.41,109.37,110.41
2022-03-06 01:00:00,110.42,110.43,109.11,109.11
2022-03-06 02:00:00,109.1,109.58,108.58,109.08
2022-03-06 03:00:00,109.19,109.49,107.55,107.55
2022-03-06 04:00:00,107.62,107.91,106.25,107.44
2022-03-06 05:00:00,107.57,107.94,107.4,107.48
2022-03-06 06:00:00,107.59,108.09,107.38,107.4
2022-03-06 07:00:00,107.48,107.64,106.92,107.43
2022-03-06 08:00:00,107.12,107.63,106.87,107.17
2022-03-06 09:00:00,107.23,107.38,105.67,105.67
2022-03-06 10:00:00,105.77,105.77,103.76,103.76
2022-03-06 11:00:00,103.65,104.71,103.08,104.49
2022-03-06 12:00:00,104.44,104.91,103.84,104.67
2022-03-06 13:00:00,104.8,106.2,104.75,105.87
2022-03-06 14:00:00,105.77,105.77,104.65,104.65
2022-03-06 15:00:00,104.7,104.78,103.98,104.58
2022-03-06 16:00:00,104.47,105.47,104.0,105.47
2022-03-06 17:00:00,105.48,105.5,104.63,104.81
2022-03-06 18:00:00,104.79,105.37,103.94,104.24
2022-03-06 19:00:00,104.12,104.48,102.95,103.21
2022-03-06 20:00:00,103.21,104.2,103.06,104.11
2022-03-06 21:00:00,103.97,104.79,103.21,104.11
2022-03-06 22:00:00,104.11,104.49,103.29,103.32
2022-03-06 23:00:00,103.38,103.44,100.87,100.97
2022-03-07 00:00:00,100.97,101.28,99.04,100.14
2022-03-07 01:00:00,100.15,100.66,99.77,99.84
2022-03-07 02:00:00,99.84,100.25,98.5,98.93
2022-03-07 03:00:00,98.89,99.37,98.17,99.21
2022-03-07 04:00:00,99.23,99.64,98.62,99.37
2022-03-07 05:00:00,99.26,100.61,98.94,100.34
2022-03-07 06:00:00,100.38,101.06,100.23,100.95
2022-03-07 07:00:00,101.05,101.1,99.71,100.12
2022-03-07 08:00:00,100.14,100.98,99.23,100.98
2022-03-07 09:00:00,100.98,101.49,100.79,100.79
2022-03-07 10:00:00,100.92,101.11,100.35,100.56
2022-03-07 11:00:00,100.54,101.3,100.3,101.21
2022-03-07 12:00:00,101.22,102.94,101.22,102.86
2022-03-07 13:00:00,102.83,104.8,102.72,104.62
2022-03-07 14:00:00,104.6,106.21,104.35,104.9
2022-03-07 15:00:00,104.94,105.86,104.53,105.27
2022-03-07 16:00:00,105.29,106.18,104.12,104.15
2022-03-07 17:00:00,104.09,104.49,103.51,103.65
2022-03-07 18:00:00,103.59,103.59,101.15,101.7
2022-03-07 19:00:00,101.62,102.0,98.14,98.36
2022-03-07 20:00:00,98.31,99.43,97.7,98.41
2022-03-07 21:00:00,98.52,99.63,98.13,99.31
2022-03-07 22:00:00,99.29,101.65,99.29,100.91
2022-03-07 23:00:00,100.99,102.7,100.77,101.21
2022-03-08 00:00:00,101.25,103.49,100.35,102.93
2022-03-08 01:00:00,102.92,104.0,102.73,103.28
2022-03-08 02:00:00,103.23,104.75,102.81,103.97
2022-03-08 03:00:00,104.06,104.13,103.29,103.69
2022-03-08 04:00:00,103.74,104.08,102.89,102.93
2022-03-08 05:00:00,103.01,103.2,101.97,102.69
2022-03-08 06:00:00,102.69,103.19,101.66,102.4
2022-03-08 07:00:00,102.3,103.5,102.23,103.34
2022-03-08 08:00:00,103.52,105.45,103.06,103.82
2022-03-08 09:00:00,103.77,104.33,103.55,104.11
2022-03-08 10:00:00,104.04,104.7,103.16,104.48
2022-03-08 11:00:00,104.4,104.88,103.98,104.6
2022-03-08 12:00:00,104.62,105.31,103.99,104.55
2022-03-08 13:00:00,104.55,105.66,103.99,105.13
2022-03-08 14:00:00,105.05,105.66,104.17,104.88
2022-03-08 15:00:00,104.83,105.47,102.79,103.88
2022-03-08 16:00:00,103.82,104.44,102.86,103.37
2022-03-08 17:00:00,103.41,105.91,103.23,105.79
2022-03-08 18:00:00,105.84,107.59,105.38,105.38
2022-03-08 19:00:00,105.38,105.6,104.66,105.34
2022-03-08 20:00:00,105.21,105.49,103.42,103.74
2022-03-08 21:00:00,103.63,103.95,102.81,102.99
2022-03-08 22:00:00,103.04,103.52,102.77,103.28
2022-03-08 23:00:00,103.19,104.29,103.12,103.99
2022-03-09 00:00:00,103.99,105.84,103.93,105.79
2022-03-09 01:00:00,105.81,106.88,105.67,106.88
2022-03-09 02:00:00,106.86,108.25,106.86,107.67
2022-03-09 03:00:00,107.72,110.25,107.36,109.77
2022-03-09 04:00:00,109.74,110.59,109.67,110.32
2022-03-09 05:00:00,110.32,110.32,109.12,109.71
2022-03-09 06:00:00,109.78,110.28,109.63,110.19
2022-03-09 07:00:00,110.16,111.08,110.0,110.62
2022-03-09 08:00:00,110.52,111.69,109.82,111.1
2022-03-09 09:00:00,111.16,111.32,110.6,110.61
2022-03-09 10:00:00,110.56,111.03,110.21,110.89
2022-03-09 11:00:00,110.94,111.35,110.7,111.02
2022-03-09 12:00:00,111.17,112.09,109.95,110.85
2022-03-09 13:00:00,110.89,110.9,109.24,109.81
