datetime,SFPBUSD_open,SFPBUSD_high,SFPBUSD_low,SFPBUSD_close
2022-05-15 11:00:00,0.3474,0.3595,0.3474,0.3581
2022-05-15 12:00:00,0.3568,0.3568,0.3488,0.3495
2022-05-15 13:00:00,0.3497,0.3498,0.3455,0.3462
2022-05-15 14:00:00,0.346,0.3544,0.3444,0.3544
2022-05-15 15:00:00,0.354,0.3615,0.353,0.3615
2022-05-15 16:00:00,0.3606,0.366,0.3603,0.3615
2022-05-15 17:00:00,0.3626,0.3681,0.3626,0.3658
2022-05-15 18:00:00,0.3654,0.3738,0.3632,0.3738
2022-05-15 19:00:00,0.3742,0.3749,0.356,0.3573
2022-05-15 20:00:00,0.3596,0.36,0.3475,0.3516
2022-05-15 21:00:00,0.353,0.3698,0.3497,0.3596
2022-05-15 22:00:00,0.3584,0.3587,0.3477,0.3494
2022-05-15 23:00:00,0.3514,0.3534,0.3462,0.3471
2022-05-16 00:00:00,0.3465,0.3497,0.3438,0.3438
2022-05-16 01:00:00,0.343,0.343,0.3294,0.3297
2022-05-16 02:00:00,0.3287,0.3329,0.3251,0.3316
2022-05-16 03:00:00,0.3316,0.3384,0.331,0.3379
2022-05-16 04:00:00,0.3382,0.3383,0.3284,0.3297
2022-05-16 05:00:00,0.328,0.3402,0.326,0.3401
2022-05-16 06:00:00,0.3399,0.34,0.3343,0.3356
2022-05-16 07:00:00,0.332,0.3431,0.3308,0.3375
2022-05-16 08:00:00,0.3374,0.3415,0.3322,0.3328
2022-05-16 09:00:00,0.3327,0.3389,0.3314,0.3333
2022-05-16 10:00:00,0.3327,0.336,0.325,0.3344
2022-05-16 11:00:00,0.3341,0.3364,0.331,0.3321
2022-05-16 12:00:00,0.3322,0.341,0.332,0.3406
2022-05-16 13:00:00,0.3384,0.3439,0.3384,0.3439
2022-05-16 14:00:00,0.3439,0.3441,0.3391,0.3392
2022-05-16 15:00:00,0.3404,0.3429,0.3404,0.3429
2022-05-16 16:00:00,0.3435,0.3445,0.3428,0.3435
2022-05-16 17:00:00,0.3449,0.3473,0.34,0.34
2022-05-16 18:00:00,0.34,0.34,0.3307,0.3324
2022-05-16 19:00:00,0.3336,0.3454,0.333,0.3453
2022-05-16 20:00:00,0.3442,0.3442,0.3382,0.343
