datetime,YFIBUSD_open,YFIBUSD_high,YFIBUSD_low,YFIBUSD_close
2022-03-31 12:00:00,22753.81,23016.23,22753.81,22841.68
2022-03-31 13:00:00,22832.91,22946.82,22660.84,22945.6
2022-03-31 14:00:00,22880.27,22957.63,22614.78,22663.61
2022-03-31 15:00:00,22663.61,22779.51,22600.77,22696.61
2022-03-31 16:00:00,22656.45,22710.23,22585.5,22662.77
2022-03-31 17:00:00,22637.09,22785.02,22575.09,22575.09
2022-03-31 18:00:00,22575.09,22587.16,22113.39,22208.49
2022-03-31 19:00:00,22241.85,22427.04,22188.84,22403.77
2022-03-31 20:00:00,22362.36,22396.97,22078.95,22105.98
2022-03-31 21:00:00,22114.27,22240.93,21569.79,21790.46
2022-03-31 22:00:00,21809.89,22233.12,21784.43,22233.12
2022-03-31 23:00:00,22240.93,22367.97,22184.62,22263.48
2022-04-01 00:00:00,22252.02,22349.59,22188.84,22231.88
2022-04-01 01:00:00,22217.71,22340.63,22151.26,22340.63
2022-04-01 02:00:00,22349.58,22561.78,22334.03,22561.78
2022-04-01 03:00:00,22561.78,22704.16,22459.38,22459.38
2022-04-01 04:00:00,22466.38,22635.29,22410.01,22619.25
2022-04-01 05:00:00,22631.06,22631.06,22448.81,22574.18
2022-04-01 06:00:00,22489.46,22587.43,22470.82,22470.82
2022-04-01 07:00:00,22462.61,22561.78,22234.24,22496.01
2022-04-01 08:00:00,22539.66,22859.24,22494.0,22719.25
2022-04-01 09:00:00,22747.2,23214.67,22747.2,23214.67
2022-04-01 10:00:00,23217.45,23514.46,23142.86,23470.97
2022-04-01 11:00:00,23499.97,23619.12,23296.64,23318.79
2022-04-01 12:00:00,23309.29,23389.1,23234.5,23331.12
2022-04-01 13:00:00,23341.3,23424.76,23276.91,23345.76
2022-04-01 14:00:00,23296.62,23307.76,23107.38,23265.0
2022-04-01 15:00:00,23266.44,23580.0,23266.44,23412.76
2022-04-01 16:00:00,23433.48,23539.83,23333.01,23333.01
2022-04-01 17:00:00,23323.5,23504.22,23300.03,23494.49
2022-04-01 18:00:00,23493.22,23521.94,23346.26,23521.93
2022-04-01 19:00:00,23480.73,23978.86,23352.04,23914.43
2022-04-01 20:00:00,23929.78,23929.78,23561.24,23733.9
2022-04-01 21:00:00,23727.43,23741.57,23446.77,23512.95
2022-04-01 22:00:00,23568.96,23686.3,23475.12,23664.37
2022-04-01 23:00:00,23652.82,23701.83,23600.99,23616.59
2022-04-02 00:00:00,23625.0,23705.32,23585.67,23628.2
2022-04-02 01:00:00,23682.19,23697.38,23521.93,23697.38
2022-04-02 02:00:00,23658.69,23667.21,23524.65,23554.89
2022-04-02 03:00:00,23521.93,23521.93,23370.49,23408.35
2022-04-02 04:00:00,23443.65,23542.55,23376.49,23542.55
2022-04-02 05:00:00,23536.53,23779.91,23416.31,23454.11
2022-04-02 06:00:00,23514.46,23517.53,23176.74,23207.17
2022-04-02 07:00:00,23198.35,23295.81,22766.37,23170.39
2022-04-02 08:00:00,23206.08,23548.92,23122.44,23504.65
2022-04-02 09:00:00,23511.66,23647.88,23339.29,23421.02
2022-04-02 10:00:00,23473.52,23473.52,23094.85,23365.6
2022-04-02 11:00:00,23365.6,23594.77,23269.75,23521.91
2022-04-02 12:00:00,23495.67,23661.66,23471.82,23635.28
2022-04-02 13:00:00,23632.2,23632.2,23073.55,23270.94
2022-04-02 14:00:00,23236.03,23612.83,23236.03,23612.83
2022-04-02 15:00:00,23567.97,23713.59,23543.73,23637.21
2022-04-02 16:00:00,23576.7,23621.14,23536.01,23621.14
2022-04-02 17:00:00,23626.78,23641.28,23543.73,23552.27
2022-04-02 18:00:00,23543.13,23560.65,23226.86,23337.25
2022-04-02 19:00:00,23350.88,23383.06,23188.13,23208.11
2022-04-02 20:00:00,23198.7,23198.7,22787.31,23015.61
2022-04-02 21:00:00,23006.72,23113.46,22899.44,22934.59
2022-04-02 22:00:00,22912.82,23208.14,22895.64,23208.14
2022-04-02 23:00:00,23198.61,23322.74,23198.61,23312.19
2022-04-03 00:00:00,23320.02,23479.0,23296.7,23479.0
2022-04-03 01:00:00,23492.55,23638.98,23412.82,23505.45
2022-04-03 02:00:00,23505.45,23505.45,23379.62,23411.38
2022-04-03 03:00:00,23494.49,23540.37,23266.21,23314.17
2022-04-03 04:00:00,23291.39,23487.53,23205.95,23405.56
2022-04-03 05:00:00,23455.0,23504.22,23399.82,23410.92
2022-04-03 06:00:00,23378.88,23512.21,23274.48,23467.91
2022-04-03 07:00:00,23439.29,23599.34,23439.29,23503.73
2022-04-03 08:00:00,23474.78,23526.31,23352.04,23494.49
2022-04-03 09:00:00,23439.88,23756.52,23431.58,23730.2
2022-04-03 10:00:00,23719.17,24000.0,23664.05,23922.62
2022-04-03 11:00:00,23871.05,24166.83,23855.8,23944.56
2022-04-03 12:00:00,23990.9,24413.73,23793.56,24392.32
2022-04-03 13:00:00,24392.32,24481.0,24097.25,24276.66
2022-04-03 14:00:00,24276.65,24805.99,24157.93,24785.21
2022-04-03 15:00:00,24782.62,25164.22,24688.53,25164.22
2022-04-03 16:00:00,25164.22,25454.31,24899.5,24968.31
2022-04-03 17:00:00,24937.91,25311.58,24924.91,25135.27
2022-04-03 18:00:00,25160.79,25391.75,25045.81,25188.37
2022-04-03 19:00:00,25199.54,25437.84,24376.07,24376.07
2022-04-03 20:00:00,24390.24,24465.11,23757.14,23988.73
2022-04-03 21:00:00,23925.73,24208.25,23893.38,24208.12
2022-04-03 22:00:00,24183.75,24446.62,24142.8,24250.0
2022-04-03 23:00:00,24238.07,24238.07,23928.4,24035.4
2022-04-04 00:00:00,24006.81,24112.77,23947.97,24112.77
2022-04-04 01:00:00,24112.77,24548.34,24096.0,24323.57
2022-04-04 02:00:00,24424.73,24465.0,24304.24,24380.0
2022-04-04 03:00:00,24351.52,24569.92,24250.0,24448.52
2022-04-04 04:00:00,24362.4,24378.76,24059.99,24098.88
2022-04-04 05:00:00,24050.0,24143.37,23817.98,23893.38
2022-04-04 06:00:00,23882.95,24186.15,23832.13,24044.0
2022-04-04 07:00:00,23991.36,23994.87,23733.0,23817.65
2022-04-04 08:00:00,23833.0,23987.05,23733.0,23874.54
2022-04-04 09:00:00,23844.54,23998.95,23618.16,23645.93
2022-04-04 10:00:00,23668.02,23756.52,23460.86,23523.3
2022-04-04 11:00:00,23502.11,23846.74,23478.64,23717.35
2022-04-04 12:00:00,23731.12,23731.12,23085.12,23176.27
2022-04-04 13:00:00,23136.45,23230.4,23024.75,23230.4
2022-04-04 14:00:00,23241.46,23274.67,23231.39,23265.69
2022-04-04 15:00:00,23257.68,23590.69,23219.21,23584.63
2022-04-04 16:00:00,23569.54,23638.94,23505.44,23635.08
2022-04-04 17:00:00,23588.53,23642.99,23352.04,23552.87
2022-04-04 18:00:00,23637.78,23843.29,23567.2,23843.29
2022-04-04 19:00:00,23865.5,23875.9,23599.27,23751.05
2022-04-04 20:00:00,23770.98,24044.4,23770.98,24022.4
2022-04-04 21:00:00,24061.19,24188.83,24003.25,24003.25
2022-04-04 22:00:00,24057.77,24119.46,24050.61,24050.61
2022-04-04 23:00:00,24081.31,24119.72,23818.0,23818.0
2022-04-05 00:00:00,23817.98,23829.99,23678.06,23678.06
2022-04-05 01:00:00,23678.07,23738.88,23608.08,23608.08
2022-04-05 02:00:00,23671.72,23846.95,23657.65,23831.71
2022-04-05 03:00:00,23792.09,24120.41,23727.03,24110.21
2022-04-05 04:00:00,24100.0,24143.37,23878.2,23901.23
