datetime,SOLBUSD_open,SOLBUSD_high,SOLBUSD_low,SOLBUSD_close
2022-05-18 13:00:00,50.57,51.31,50.01,51.04
2022-05-18 14:00:00,51.05,51.92,51.04,51.65
2022-05-18 15:00:00,51.65,51.69,50.28,51.03
2022-05-18 16:00:00,51.03,51.56,50.59,50.92
2022-05-18 17:00:00,50.92,51.59,50.55,50.82
2022-05-18 18:00:00,50.81,51.2,49.32,49.86
2022-05-18 19:00:00,49.86,50.89,49.65,50.4
2022-05-18 20:00:00,50.39,50.89,48.02,48.53
2022-05-18 21:00:00,48.57,50.18,48.26,49.94
2022-05-18 22:00:00,49.94,50.87,49.86,50.55
2022-05-18 23:00:00,50.58,51.43,50.54,50.59
2022-05-19 00:00:00,50.59,50.79,50.1,50.34
2022-05-19 01:00:00,50.37,52.17,50.37,52.08
2022-05-19 02:00:00,52.08,52.2,50.5,51.02
2022-05-19 03:00:00,51.02,51.15,49.42,49.43
2022-05-19 04:00:00,49.42,49.95,48.21,48.88
2022-05-19 05:00:00,48.89,49.58,48.29,49.24
2022-05-19 06:00:00,49.24,51.49,48.62,51.17
2022-05-19 07:00:00,51.17,51.32,50.27,50.66
2022-05-19 08:00:00,50.66,52.18,50.22,51.01
2022-05-19 09:00:00,50.99,52.75,50.97,52.07
2022-05-19 10:00:00,52.07,54.02,51.74,53.17
2022-05-19 11:00:00,53.18,53.51,52.51,53.06
2022-05-19 12:00:00,53.07,53.45,52.25,53.05
2022-05-19 13:00:00,53.06,53.38,52.38,52.61
2022-05-19 14:00:00,52.63,52.86,51.52,51.54
2022-05-19 15:00:00,51.54,52.22,51.4,52.07
2022-05-19 16:00:00,52.07,52.48,51.7,51.81
2022-05-19 17:00:00,51.8,51.8,50.65,51.32
2022-05-19 18:00:00,51.32,52.6,51.11,52.11
2022-05-19 19:00:00,52.14,52.36,51.53,52.16
2022-05-19 20:00:00,52.15,53.49,51.7,53.01
2022-05-19 21:00:00,53.0,53.07,51.96,52.34
2022-05-19 22:00:00,52.34,52.47,51.38,51.43
2022-05-19 23:00:00,51.42,51.93,50.54,50.96
2022-05-20 00:00:00,50.95,52.04,50.56,52.01
2022-05-20 01:00:00,52.01,52.22,50.6,51.26
2022-05-20 02:00:00,51.25,52.3,50.85,52.03
2022-05-20 03:00:00,52.02,52.78,51.77,52.47
2022-05-20 04:00:00,52.47,53.14,52.18,52.79
2022-05-20 05:00:00,52.78,53.36,52.7,53.33
2022-05-20 06:00:00,53.33,53.6,52.37,53.14
2022-05-20 07:00:00,53.14,53.19,51.47,52.14
2022-05-20 08:00:00,52.13,52.65,51.43,52.07
2022-05-20 09:00:00,52.06,52.12,50.07,50.33
2022-05-20 10:00:00,50.32,50.32,49.23,49.36
2022-05-20 11:00:00,49.36,49.4,47.75,48.47
2022-05-20 12:00:00,48.46,49.05,47.81,48.97
2022-05-20 13:00:00,48.97,49.34,48.29,49.01
2022-05-20 14:00:00,49.0,50.25,48.78,50.1
2022-05-20 15:00:00,50.1,50.71,49.72,50.1
2022-05-20 16:00:00,50.09,50.37,49.5,49.67
2022-05-20 17:00:00,49.67,50.31,49.51,49.68
2022-05-20 18:00:00,49.68,50.29,49.27,49.38
2022-05-20 19:00:00,49.38,49.85,48.76,49.27
2022-05-20 20:00:00,49.27,49.38,48.36,49.23
2022-05-20 21:00:00,49.25,49.9,48.94,49.69
2022-05-20 22:00:00,49.66,50.14,49.16,50.07
2022-05-20 23:00:00,50.08,50.16,49.71,49.9
2022-05-21 00:00:00,49.91,50.0,49.41,49.63
2022-05-21 01:00:00,49.64,49.99,49.37,49.97
2022-05-21 02:00:00,49.98,50.31,49.61,49.94
2022-05-21 03:00:00,49.94,50.15,49.6,49.98
2022-05-21 04:00:00,49.96,50.0,49.51,49.55
2022-05-21 05:00:00,49.58,49.94,49.47,49.71
2022-05-21 06:00:00,49.71,49.73,48.89,49.38
2022-05-21 07:00:00,49.37,49.61,48.93,49.49
2022-05-21 08:00:00,49.48,50.08,49.32,49.84
2022-05-21 09:00:00,49.84,50.65,49.66,50.62
2022-05-21 10:00:00,50.61,50.77,50.14,50.63
2022-05-21 11:00:00,50.64,51.15,50.23,50.41
2022-05-21 12:00:00,50.42,50.65,50.0,50.03
2022-05-21 13:00:00,50.02,50.42,49.96,50.41
2022-05-21 14:00:00,50.4,50.55,49.88,50.14
2022-05-21 15:00:00,50.13,50.33,49.72,49.99
2022-05-21 16:00:00,49.99,50.11,49.47,49.49
2022-05-21 17:00:00,49.48,50.22,49.39,50.22
2022-05-21 18:00:00,50.23,50.58,50.11,50.24
2022-05-21 19:00:00,50.23,50.67,50.16,50.44
2022-05-21 20:00:00,50.44,50.66,50.28,50.4
2022-05-21 21:00:00,50.39,50.41,49.87,50.1
2022-05-21 22:00:00,50.1,50.37,49.9,50.08
2022-05-21 23:00:00,50.06,50.1,49.62,49.84
2022-05-22 00:00:00,49.84,50.3,49.81,50.04
