datetime,QUICKUSD_open,QUICKUSD_high,QUICKUSD_low,QUICKUSD_close
2022-05-08 02:00:00,136.57,136.57,132.1,133.36
2022-05-08 03:00:00,133.44,134.53,132.62,134.53
2022-05-08 04:00:00,134.7,135.94,134.35,134.35
2022-05-08 05:00:00,134.74,134.8,133.45,134.15
2022-05-08 06:00:00,133.99,135.42,133.99,135.42
2022-05-08 07:00:00,135.14,135.3,133.9,133.9
2022-05-08 08:00:00,133.54,134.45,133.14,133.72
2022-05-08 09:00:00,133.53,133.9,132.61,132.7
2022-05-08 10:00:00,132.72,133.47,132.5,133.26
2022-05-08 11:00:00,133.4,133.9,133.4,133.49
2022-05-08 12:00:00,133.54,133.84,132.83,132.98
2022-05-08 13:00:00,132.98,133.72,132.06,132.06
2022-05-08 14:00:00,132.31,135.58,131.59,131.64
2022-05-08 15:00:00,131.76,131.78,131.2,131.35
2022-05-08 16:00:00,131.15,131.86,130.97,130.97
2022-05-08 17:00:00,130.73,130.75,126.83,128.43
2022-05-08 18:00:00,128.44,131.03,127.4,131.02
2022-05-08 19:00:00,131.08,132.06,131.07,131.66
2022-05-08 20:00:00,131.43,131.43,130.38,130.82
2022-05-08 21:00:00,130.79,131.71,130.79,131.1
2022-05-08 22:00:00,130.67,131.08,130.07,130.29
2022-05-08 23:00:00,130.3,130.63,129.31,129.68
2022-05-09 00:00:00,129.52,131.23,129.45,130.77
2022-05-09 01:00:00,130.52,130.79,130.07,130.19
2022-05-09 02:00:00,130.41,130.41,125.83,126.71
2022-05-09 03:00:00,126.54,129.0,126.54,127.58
2022-05-09 04:00:00,127.57,128.09,126.44,127.04
2022-05-09 05:00:00,126.74,127.21,126.17,126.61
2022-05-09 06:00:00,126.74,126.74,124.61,125.76
2022-05-09 07:00:00,125.94,125.94,123.22,123.33
2022-05-09 08:00:00,123.54,123.87,121.59,123.03
2022-05-09 09:00:00,122.94,123.38,121.87,121.87
2022-05-09 10:00:00,122.07,122.1,117.81,118.32
