datetime,ETHUSD_open,ETHUSD_high,ETHUSD_low,ETHUSD_close
2022-01-16 19:00:00,3348.92,3351.45,3314.25,3322.65
2022-01-16 20:00:00,3322.44,3339.13,3307.0,3335.14
2022-01-16 21:00:00,3335.14,3339.96,3322.08,3331.84
2022-01-16 22:00:00,3331.16,3354.32,3329.87,3350.49
2022-01-16 23:00:00,3350.49,3365.44,3347.4,3349.46
2022-01-17 00:00:00,3349.88,3360.07,3326.88,3328.17
2022-01-17 01:00:00,3328.16,3333.76,3313.85,3321.38
2022-01-17 02:00:00,3321.51,3328.65,3311.77,3327.2
2022-01-17 03:00:00,3327.42,3331.4,3255.45,3259.3
2022-01-17 04:00:00,3260.24,3276.54,3252.06,3255.19
2022-01-17 05:00:00,3255.17,3269.99,3238.47,3267.83
2022-01-17 06:00:00,3267.73,3284.77,3264.05,3274.8
2022-01-17 07:00:00,3274.3,3301.84,3271.71,3272.55
2022-01-17 08:00:00,3272.53,3280.13,3250.33,3272.75
2022-01-17 09:00:00,3272.45,3283.69,3264.14,3275.57
2022-01-17 10:00:00,3275.57,3280.61,3256.33,3274.81
2022-01-17 11:00:00,3275.19,3280.94,3255.42,3256.54
2022-01-17 12:00:00,3256.6,3282.36,3235.22,3261.9
2022-01-17 13:00:00,3260.89,3277.09,3256.82,3268.86
2022-01-17 14:00:00,3268.81,3276.56,3250.14,3257.48
2022-01-17 15:00:00,3257.48,3259.71,3221.67,3237.43
2022-01-17 16:00:00,3237.45,3247.44,3207.44,3229.07
2022-01-17 17:00:00,3229.06,3232.11,3194.16,3208.9
2022-01-17 18:00:00,3208.91,3219.19,3181.45,3218.37
2022-01-17 19:00:00,3218.32,3228.58,3214.53,3220.9
2022-01-17 20:00:00,3221.0,3225.0,3208.88,3209.88
2022-01-17 21:00:00,3209.89,3211.77,3153.0,3167.3
2022-01-17 22:00:00,3166.66,3217.39,3142.39,3194.12
2022-01-17 23:00:00,3194.1,3223.0,3192.53,3210.98
2022-01-18 00:00:00,3211.08,3236.59,3206.12,3230.29
2022-01-18 01:00:00,3230.12,3246.2,3217.88,3224.22
2022-01-18 02:00:00,3224.97,3225.89,3207.82,3219.66
2022-01-18 03:00:00,3219.73,3220.24,3176.7,3183.39
2022-01-18 04:00:00,3183.43,3189.95,3164.34,3176.61
2022-01-18 05:00:00,3176.55,3184.43,3166.35,3175.19
2022-01-18 06:00:00,3175.24,3208.28,3175.24,3202.08
2022-01-18 07:00:00,3202.62,3207.0,3182.67,3188.22
