datetime,KP3RBUSD_open,KP3RBUSD_high,KP3RBUSD_low,KP3RBUSD_close
2022-03-09 02:00:00,381.58,386.0,380.0,383.0
2022-03-09 03:00:00,383.0,383.33,377.64,379.0
2022-03-09 04:00:00,379.01,382.54,376.69,377.31
2022-03-09 05:00:00,376.67,378.76,371.97,377.79
2022-03-09 06:00:00,377.51,377.57,370.0,373.74
2022-03-09 07:00:00,373.73,377.8,368.0,368.89
2022-03-09 08:00:00,369.97,374.69,366.15,371.46
2022-03-09 09:00:00,371.8,379.01,371.46,375.76
2022-03-09 10:00:00,376.0,382.15,373.15,379.66
2022-03-09 11:00:00,380.0,381.0,373.0,374.61
2022-03-09 12:00:00,374.27,377.53,371.53,373.36
2022-03-09 13:00:00,373.36,373.36,367.15,369.48
2022-03-09 14:00:00,369.71,373.81,364.9,368.74
2022-03-09 15:00:00,368.74,372.21,365.49,367.56
2022-03-09 16:00:00,367.96,370.54,366.1,366.1
2022-03-09 17:00:00,366.11,371.32,366.0,368.35
2022-03-09 18:00:00,368.35,377.97,368.35,372.69
2022-03-09 19:00:00,373.22,374.1,367.45,368.65
2022-03-09 20:00:00,368.86,372.74,359.31,360.19
2022-03-09 21:00:00,360.08,365.31,359.03,359.03
