datetime,IOTXUSD_open,IOTXUSD_high,IOTXUSD_low,IOTXUSD_close
2022-03-27 03:00:00,0.10213,0.10279,0.1019,0.10205
2022-03-27 04:00:00,0.10214,0.1025,0.10166,0.10177
2022-03-27 05:00:00,0.1018,0.10267,0.1018,0.10243
2022-03-27 06:00:00,0.10243,0.10313,0.10229,0.10282
2022-03-27 07:00:00,0.10274,0.10329,0.10242,0.10308
2022-03-27 08:00:00,0.10288,0.10327,0.10204,0.10204
2022-03-27 09:00:00,0.10202,0.10272,0.10174,0.10195
2022-03-27 10:00:00,0.10196,0.103,0.10169,0.10252
2022-03-27 11:00:00,0.10245,0.10321,0.10205,0.10221
2022-03-27 12:00:00,0.10195,0.10243,0.10077,0.10077
2022-03-27 13:00:00,0.10077,0.10247,0.10064,0.10227
2022-03-27 14:00:00,0.10216,0.10239,0.1012,0.10176
2022-03-27 15:00:00,0.10176,0.10307,0.10175,0.1029
2022-03-27 16:00:00,0.1029,0.1033,0.1029,0.10314
2022-03-27 17:00:00,0.10314,0.10363,0.1029,0.10363
2022-03-27 18:00:00,0.10363,0.10406,0.10312,0.10345
2022-03-27 19:00:00,0.10325,0.10397,0.1029,0.10327
2022-03-27 20:00:00,0.10329,0.10501,0.10252,0.1047
2022-03-27 21:00:00,0.10487,0.1063,0.10462,0.10487
2022-03-27 22:00:00,0.10489,0.10566,0.10457,0.10467
2022-03-27 23:00:00,0.10457,0.1051,0.10343,0.1047
2022-03-28 00:00:00,0.1047,0.10565,0.10345,0.10429
2022-03-28 01:00:00,0.10423,0.10562,0.10412,0.10468
2022-03-28 02:00:00,0.10473,0.1061,0.10434,0.10531
2022-03-28 03:00:00,0.10518,0.10611,0.10495,0.10605
2022-03-28 04:00:00,0.10589,0.10611,0.10524,0.1055
2022-03-28 05:00:00,0.10569,0.10621,0.10539,0.10567
2022-03-28 06:00:00,0.10588,0.10595,0.10433,0.10495
2022-03-28 07:00:00,0.10495,0.10742,0.10442,0.10662
2022-03-28 08:00:00,0.10672,0.10697,0.10557,0.10615
2022-03-28 09:00:00,0.10615,0.1065,0.10556,0.10613
2022-03-28 10:00:00,0.10629,0.10629,0.10556,0.106
2022-03-28 11:00:00,0.106,0.10694,0.1055,0.10582
2022-03-28 12:00:00,0.10582,0.10688,0.10448,0.10485
2022-03-28 13:00:00,0.10485,0.10631,0.10466,0.10551
2022-03-28 14:00:00,0.10548,0.10548,0.10318,0.10496
2022-03-28 15:00:00,0.10496,0.105,0.10372,0.10399
2022-03-28 16:00:00,0.10385,0.106,0.10274,0.10369
2022-03-28 17:00:00,0.1039,0.10509,0.10346,0.1049
2022-03-28 18:00:00,0.10506,0.107,0.10415,0.10642
2022-03-28 19:00:00,0.10626,0.10735,0.1051,0.10609
2022-03-28 20:00:00,0.10588,0.10691,0.10571,0.10665
2022-03-28 21:00:00,0.10665,0.10685,0.10317,0.10399
2022-03-28 22:00:00,0.10404,0.10471,0.10323,0.10338
2022-03-28 23:00:00,0.10338,0.106,0.10262,0.10285
2022-03-29 00:00:00,0.10289,0.10327,0.10281,0.10289
2022-03-29 01:00:00,0.10297,0.10474,0.10297,0.10404
2022-03-29 02:00:00,0.10425,0.10536,0.10396,0.10517
2022-03-29 03:00:00,0.10517,0.10533,0.10328,0.10471
2022-03-29 04:00:00,0.10471,0.10497,0.10385,0.10407
2022-03-29 05:00:00,0.10427,0.10576,0.10416,0.10541
2022-03-29 06:00:00,0.10573,0.10683,0.10511,0.1065
2022-03-29 07:00:00,0.1065,0.11154,0.1063,0.1075
2022-03-29 08:00:00,0.1075,0.1099,0.10637,0.10637
2022-03-29 09:00:00,0.10639,0.10749,0.10637,0.10684
2022-03-29 10:00:00,0.10665,0.10802,0.10617,0.10749
2022-03-29 11:00:00,0.10732,0.10898,0.10659,0.1077
2022-03-29 12:00:00,0.1077,0.10881,0.10648,0.10741
2022-03-29 13:00:00,0.10741,0.10882,0.10709,0.10828
2022-03-29 14:00:00,0.10836,0.1123,0.10813,0.11219
2022-03-29 15:00:00,0.11217,0.11699,0.11094,0.11403
2022-03-29 16:00:00,0.11396,0.11403,0.10884,0.10917
2022-03-29 17:00:00,0.10915,0.11362,0.10887,0.11315
2022-03-29 18:00:00,0.11315,0.11428,0.10676,0.10745
2022-03-29 19:00:00,0.10745,0.10932,0.10687,0.10825
2022-03-29 20:00:00,0.10825,0.10984,0.10776,0.10782
2022-03-29 21:00:00,0.10802,0.10908,0.10686,0.10727
2022-03-29 22:00:00,0.10729,0.1116,0.10728,0.10993
2022-03-29 23:00:00,0.11021,0.11021,0.1087,0.10871
2022-03-30 00:00:00,0.10871,0.10891,0.10773,0.10797
2022-03-30 01:00:00,0.10797,0.10858,0.10671,0.1071
2022-03-30 02:00:00,0.1069,0.10812,0.1065,0.10753
2022-03-30 03:00:00,0.10763,0.1105,0.10691,0.11039
2022-03-30 04:00:00,0.1105,0.11235,0.10818,0.10857
2022-03-30 05:00:00,0.10883,0.11065,0.10866,0.11011
2022-03-30 06:00:00,0.1104,0.11074,0.11,0.11053
2022-03-30 07:00:00,0.11067,0.11135,0.11001,0.11005
2022-03-30 08:00:00,0.11006,0.11013,0.10752,0.10864
2022-03-30 09:00:00,0.10873,0.10924,0.10804,0.1082
2022-03-30 10:00:00,0.10826,0.10908,0.10783,0.10837
2022-03-30 11:00:00,0.10848,0.10913,0.10801,0.10821
2022-03-30 12:00:00,0.1082,0.10883,0.108,0.10846
2022-03-30 13:00:00,0.10835,0.10861,0.1068,0.10682
2022-03-30 14:00:00,0.10682,0.10753,0.10615,0.10678
2022-03-30 15:00:00,0.10665,0.108,0.10613,0.10748
2022-03-30 16:00:00,0.10748,0.1085,0.10665,0.1081
2022-03-30 17:00:00,0.1081,0.10941,0.10677,0.10844
2022-03-30 18:00:00,0.10844,0.10948,0.10763,0.10763
2022-03-30 19:00:00,0.10763,0.10807,0.10633,0.10711
2022-03-30 20:00:00,0.10712,0.10798,0.10642,0.1073
2022-03-30 21:00:00,0.10726,0.10741,0.10634,0.10634
2022-03-30 22:00:00,0.10634,0.10719,0.10618,0.10671
2022-03-30 23:00:00,0.10638,0.10744,0.10619,0.10687
2022-03-31 00:00:00,0.10687,0.10854,0.10615,0.10798
2022-03-31 01:00:00,0.10798,0.11198,0.10798,0.11095
2022-03-31 02:00:00,0.11099,0.11331,0.10906,0.11051
2022-03-31 03:00:00,0.11068,0.11774,0.10956,0.11418
2022-03-31 04:00:00,0.11414,0.11496,0.1112,0.11162
2022-03-31 05:00:00,0.1116,0.12426,0.11077,0.12042
2022-03-31 06:00:00,0.12035,0.1232,0.11665,0.11806
2022-03-31 07:00:00,0.11806,0.12094,0.11507,0.11958
2022-03-31 08:00:00,0.11918,0.12663,0.11812,0.12511
2022-03-31 09:00:00,0.125,0.1259,0.12118,0.12279
2022-03-31 10:00:00,0.12277,0.12486,0.11973,0.11977
2022-03-31 11:00:00,0.11981,0.1214,0.11739,0.11745
2022-03-31 12:00:00,0.11759,0.11912,0.1134,0.11682
2022-03-31 13:00:00,0.11682,0.11733,0.1144,0.11465
2022-03-31 14:00:00,0.11464,0.11465,0.10796,0.1117
2022-03-31 15:00:00,0.11152,0.11442,0.11,0.1137
2022-03-31 16:00:00,0.1137,0.11396,0.108,0.1088
2022-03-31 17:00:00,0.10869,0.11086,0.10869,0.10982
2022-03-31 18:00:00,0.10996,0.11491,0.10958,0.11491
2022-03-31 19:00:00,0.11491,0.11521,0.11153,0.11238
2022-03-31 20:00:00,0.11251,0.11417,0.10993,0.11388
2022-03-31 21:00:00,0.11389,0.11746,0.11345,0.11554
2022-03-31 22:00:00,0.11558,0.11721,0.1136,0.11455
2022-03-31 23:00:00,0.11426,0.1173,0.11382,0.11503
2022-04-01 00:00:00,0.11513,0.12082,0.11471,0.1184
2022-04-01 01:00:00,0.11805,0.11961,0.11622,0.11718
2022-04-01 02:00:00,0.11718,0.11875,0.11593,0.11701
2022-04-01 03:00:00,0.11712,0.11779,0.11121,0.11157
2022-04-01 04:00:00,0.1117,0.11284,0.10909,0.11105
2022-04-01 05:00:00,0.11101,0.11154,0.1095,0.11036
2022-04-01 06:00:00,0.11011,0.11083,0.10894,0.11083
2022-04-01 07:00:00,0.11084,0.11123,0.11058,0.11093
2022-04-01 08:00:00,0.11114,0.11353,0.11093,0.11349
2022-04-01 09:00:00,0.11332,0.11475,0.11158,0.11163
2022-04-01 10:00:00,0.11174,0.11308,0.11174,0.11253
2022-04-01 11:00:00,0.1124,0.11314,0.11113,0.11113
2022-04-01 12:00:00,0.11126,0.11129,0.10927,0.10957
2022-04-01 13:00:00,0.11005,0.1134,0.10976,0.11198
2022-04-01 14:00:00,0.11214,0.1143,0.11202,0.114
2022-04-01 15:00:00,0.114,0.1148,0.113,0.11305
2022-04-01 16:00:00,0.11327,0.11464,0.11262,0.11262
2022-04-01 17:00:00,0.11262,0.11469,0.11245,0.11366
2022-04-01 18:00:00,0.11366,0.11609,0.11164,0.11609
2022-04-01 19:00:00,0.11609,0.11924,0.11609,0.11828
2022-04-01 20:00:00,0.11835,0.12107,0.11753,0.12104
2022-04-01 21:00:00,0.12104,0.12108,0.11694,0.1175
2022-04-01 22:00:00,0.1175,0.11768,0.11616,0.11654
2022-04-01 23:00:00,0.11624,0.11862,0.11613,0.11639
2022-04-02 00:00:00,0.11667,0.11746,0.1145,0.11503
2022-04-02 01:00:00,0.11521,0.11564,0.11446,0.11525
2022-04-02 02:00:00,0.11523,0.11727,0.11478,0.11688
2022-04-02 03:00:00,0.11666,0.11783,0.11645,0.11748
2022-04-02 04:00:00,0.11748,0.11817,0.11657,0.11693
2022-04-02 05:00:00,0.11701,0.11814,0.11677,0.11748
2022-04-02 06:00:00,0.11752,0.11826,0.11731,0.11796
2022-04-02 07:00:00,0.11794,0.11827,0.11775,0.118
2022-04-02 08:00:00,0.11777,0.11816,0.11727,0.11779
2022-04-02 09:00:00,0.11775,0.11866,0.11747,0.11843
2022-04-02 10:00:00,0.11864,0.11866,0.11708,0.11776
2022-04-02 11:00:00,0.118,0.11804,0.11632,0.11683
2022-04-02 12:00:00,0.11656,0.11776,0.11619,0.11667
2022-04-02 13:00:00,0.11688,0.11817,0.11613,0.11705
2022-04-02 14:00:00,0.11704,0.11768,0.11627,0.11667
2022-04-02 15:00:00,0.11659,0.11706,0.11455,0.11537
2022-04-02 16:00:00,0.11552,0.1169,0.11502,0.1168
2022-04-02 17:00:00,0.1168,0.11762,0.11556,0.1175
2022-04-02 18:00:00,0.11737,0.1176,0.11504,0.11516
