datetime,NEARBUSD_open,NEARBUSD_high,NEARBUSD_low,NEARBUSD_close
2022-01-28 04:00:00,10.424,10.485,10.29,10.319
2022-01-28 05:00:00,10.322,10.458,10.236,10.382
2022-01-28 06:00:00,10.376,10.41,10.116,10.259
2022-01-28 07:00:00,10.276,10.337,10.068,10.174
2022-01-28 08:00:00,10.18,10.477,10.113,10.45
2022-01-28 09:00:00,10.456,10.53,10.188,10.235
2022-01-28 10:00:00,10.238,10.569,10.184,10.5
2022-01-28 11:00:00,10.503,10.589,10.367,10.472
2022-01-28 12:00:00,10.478,10.526,10.321,10.369
2022-01-28 13:00:00,10.376,10.476,10.328,10.469
2022-01-28 14:00:00,10.471,10.496,10.268,10.461
2022-01-28 15:00:00,10.452,10.772,10.395,10.709
2022-01-28 16:00:00,10.718,10.895,10.662,10.766
2022-01-28 17:00:00,10.773,10.812,10.635,10.652
2022-01-28 18:00:00,10.652,10.799,10.643,10.76
2022-01-28 19:00:00,10.774,10.897,10.694,10.823
2022-01-28 20:00:00,10.831,10.866,10.657,10.746
2022-01-28 21:00:00,10.758,10.838,10.709,10.799
2022-01-28 22:00:00,10.801,10.95,10.794,10.916
2022-01-28 23:00:00,10.909,10.999,10.876,10.88
2022-01-29 00:00:00,10.879,10.924,10.806,10.887
2022-01-29 01:00:00,10.877,10.96,10.847,10.917
2022-01-29 02:00:00,10.925,11.164,10.922,11.101
2022-01-29 03:00:00,11.117,11.154,11.065,11.091
2022-01-29 04:00:00,11.089,11.089,10.938,11.039
2022-01-29 05:00:00,11.037,11.118,10.944,11.086
2022-01-29 06:00:00,11.084,11.149,11.038,11.125
2022-01-29 07:00:00,11.119,11.352,11.07,11.343
2022-01-29 08:00:00,11.348,11.354,11.174,11.305
2022-01-29 09:00:00,11.312,11.34,10.907,10.999
2022-01-29 10:00:00,10.983,11.161,10.835,11.035
2022-01-29 11:00:00,11.027,11.077,10.909,11.077
2022-01-29 12:00:00,11.08,11.181,10.977,10.995
2022-01-29 13:00:00,11.008,11.066,10.942,11.021
2022-01-29 14:00:00,11.03,11.103,10.961,11.083
2022-01-29 15:00:00,11.098,11.242,11.042,11.094
2022-01-29 16:00:00,11.094,11.206,11.02,11.073
2022-01-29 17:00:00,11.073,11.138,10.978,11.126
2022-01-29 18:00:00,11.115,11.115,10.875,11.037
2022-01-29 19:00:00,11.04,11.158,10.906,10.942
2022-01-29 20:00:00,10.912,10.981,10.738,10.802
2022-01-29 21:00:00,10.808,10.899,10.769,10.868
2022-01-29 22:00:00,10.874,10.953,10.843,10.855
2022-01-29 23:00:00,10.863,10.948,10.819,10.923
2022-01-30 00:00:00,10.925,10.977,10.877,10.956
2022-01-30 01:00:00,10.953,10.999,10.911,10.974
2022-01-30 02:00:00,10.997,11.05,10.974,11.041
2022-01-30 03:00:00,11.043,11.077,10.926,10.93
2022-01-30 04:00:00,10.929,10.965,10.857,10.911
2022-01-30 05:00:00,10.911,11.156,10.869,11.146
2022-01-30 06:00:00,11.126,11.126,11.011,11.1
2022-01-30 07:00:00,11.1,11.11,10.911,10.938
2022-01-30 08:00:00,10.944,11.005,10.9,11.005
2022-01-30 09:00:00,10.982,11.016,10.783,10.882
2022-01-30 10:00:00,10.883,10.938,10.833,10.876
2022-01-30 11:00:00,10.884,10.903,10.657,10.685
2022-01-30 12:00:00,10.681,10.745,10.578,10.723
2022-01-30 13:00:00,10.728,10.746,10.601,10.644
2022-01-30 14:00:00,10.643,10.646,10.366,10.436
2022-01-30 15:00:00,10.444,10.5,10.318,10.418
2022-01-30 16:00:00,10.422,10.447,10.268,10.356
2022-01-30 17:00:00,10.36,10.44,10.304,10.413
2022-01-30 18:00:00,10.417,10.551,10.298,10.381
2022-01-30 19:00:00,10.36,10.417,10.03,10.124
2022-01-30 20:00:00,10.119,10.247,10.112,10.141
2022-01-30 21:00:00,10.142,10.266,10.053,10.214
2022-01-30 22:00:00,10.203,10.257,10.15,10.218
2022-01-30 23:00:00,10.21,10.21,10.079,10.154
2022-01-31 00:00:00,10.149,10.2,10.08,10.19
2022-01-31 01:00:00,10.183,10.232,10.182,10.187
2022-01-31 02:00:00,10.184,10.299,10.175,10.29
2022-01-31 03:00:00,10.287,10.306,10.248,10.299
2022-01-31 04:00:00,10.291,10.4,10.259,10.385
2022-01-31 05:00:00,10.378,10.511,10.375,10.48
2022-01-31 06:00:00,10.473,10.581,10.365,10.526
2022-01-31 07:00:00,10.522,10.594,10.413,10.49
2022-01-31 08:00:00,10.488,10.653,10.464,10.653
2022-01-31 09:00:00,10.648,10.725,10.588,10.664
2022-01-31 10:00:00,10.662,10.891,10.638,10.803
2022-01-31 11:00:00,10.825,11.358,10.758,11.271
2022-01-31 12:00:00,11.265,11.367,11.146,11.198
2022-01-31 13:00:00,11.199,11.242,11.082,11.105
2022-01-31 14:00:00,11.107,11.151,10.902,10.94
2022-01-31 15:00:00,10.949,11.035,10.84,10.983
2022-01-31 16:00:00,10.978,11.072,10.923,10.975
2022-01-31 17:00:00,10.979,11.079,10.959,10.976
2022-01-31 18:00:00,10.977,11.152,10.977,11.118
2022-01-31 19:00:00,11.118,11.196,10.944,11.096
2022-01-31 20:00:00,11.091,11.227,11.037,11.16
2022-01-31 21:00:00,11.16,11.206,11.126,11.182
2022-01-31 22:00:00,11.18,11.462,11.153,11.43
2022-01-31 23:00:00,11.435,11.53,11.315,11.375
2022-02-01 00:00:00,11.38,11.438,11.334,11.344
2022-02-01 01:00:00,11.341,11.38,11.218,11.325
2022-02-01 02:00:00,11.326,11.34,11.234,11.27
2022-02-01 03:00:00,11.269,11.337,11.252,11.332
2022-02-01 04:00:00,11.332,11.468,11.061,11.066
2022-02-01 05:00:00,11.067,11.225,11.027,11.136
2022-02-01 06:00:00,11.15,11.25,11.083,11.171
2022-02-01 07:00:00,11.167,11.309,11.167,11.277
2022-02-01 08:00:00,11.274,11.304,11.105,11.255
2022-02-01 09:00:00,11.252,11.352,11.078,11.164
2022-02-01 10:00:00,11.143,11.222,10.904,11.17
2022-02-01 11:00:00,11.176,11.4,11.12,11.345
2022-02-01 12:00:00,11.346,11.395,11.141,11.215
2022-02-01 13:00:00,11.209,11.282,11.121,11.157
2022-02-01 14:00:00,11.166,11.192,10.975,11.043
2022-02-01 15:00:00,11.042,11.246,11.041,11.136
2022-02-01 16:00:00,11.141,11.266,11.141,11.254
2022-02-01 17:00:00,11.252,11.286,11.122,11.176
2022-02-01 18:00:00,11.176,11.275,11.154,11.233
2022-02-01 19:00:00,11.218,11.279,11.08,11.133
2022-02-01 20:00:00,11.138,11.196,11.01,11.053
2022-02-01 21:00:00,11.052,11.124,11.029,11.074
2022-02-01 22:00:00,11.069,11.186,11.069,11.096
2022-02-01 23:00:00,11.096,11.129,11.043,11.055
2022-02-02 00:00:00,11.054,11.154,11.054,11.12
2022-02-02 01:00:00,11.116,11.192,11.016,11.065
2022-02-02 02:00:00,11.057,11.088,11.021,11.042
2022-02-02 03:00:00,11.042,11.147,11.03,11.132
2022-02-02 04:00:00,11.141,11.275,11.1,11.26
2022-02-02 05:00:00,11.25,11.354,11.204,11.325
2022-02-02 06:00:00,11.315,11.381,11.27,11.365
2022-02-02 07:00:00,11.358,11.666,11.358,11.645
2022-02-02 08:00:00,11.639,11.725,11.494,11.52
2022-02-02 09:00:00,11.52,11.553,11.081,11.135
2022-02-02 10:00:00,11.129,11.491,11.128,11.412
2022-02-02 11:00:00,11.402,11.422,11.059,11.388
2022-02-02 12:00:00,11.401,11.918,11.3,11.865
2022-02-02 13:00:00,11.852,11.96,11.705,11.881
2022-02-02 14:00:00,11.889,11.909,11.739,11.758
2022-02-02 15:00:00,11.779,11.784,11.534,11.647
2022-02-02 16:00:00,11.659,11.693,11.081,11.272
2022-02-02 17:00:00,11.249,11.355,11.075,11.163
2022-02-02 18:00:00,11.162,11.24,10.861,10.867
2022-02-02 19:00:00,10.864,10.948,10.683,10.717
2022-02-02 20:00:00,10.719,10.788,10.518,10.547
2022-02-02 21:00:00,10.588,10.656,10.467,10.621
2022-02-02 22:00:00,10.631,10.656,10.522,10.591
2022-02-02 23:00:00,10.586,10.65,10.492,10.618
2022-02-03 00:00:00,10.606,10.803,10.564,10.762
2022-02-03 01:00:00,10.749,10.762,10.651,10.729
2022-02-03 02:00:00,10.727,10.856,10.727,10.819
2022-02-03 03:00:00,10.805,11.001,10.805,10.893
2022-02-03 04:00:00,10.885,10.885,10.586,10.617
2022-02-03 05:00:00,10.619,10.718,10.443,10.635
2022-02-03 06:00:00,10.634,10.836,10.577,10.789
2022-02-03 07:00:00,10.787,10.787,10.533,10.738
2022-02-03 08:00:00,10.722,10.722,10.554,10.665
2022-02-03 09:00:00,10.676,10.705,10.574,10.671
2022-02-03 10:00:00,10.683,10.938,10.678,10.919
2022-02-03 11:00:00,10.906,10.981,10.668,10.668
2022-02-03 12:00:00,10.667,10.812,10.583,10.795
2022-02-03 13:00:00,10.785,10.809,10.709,10.775
2022-02-03 14:00:00,10.77,10.798,10.564,10.676
