datetime,EGLDBUSD_open,EGLDBUSD_high,EGLDBUSD_low,EGLDBUSD_close
2022-04-26 13:00:00,149.04,149.17,147.7,148.51
2022-04-26 14:00:00,148.7,149.59,145.42,147.31
2022-04-26 15:00:00,147.3,147.79,144.19,146.61
2022-04-26 16:00:00,146.55,148.35,146.03,147.83
2022-04-26 17:00:00,147.93,148.59,146.61,146.61
2022-04-26 18:00:00,146.6,147.01,143.78,144.83
2022-04-26 19:00:00,144.97,146.22,144.37,145.6
2022-04-26 20:00:00,145.56,146.9,145.56,146.89
2022-04-26 21:00:00,146.93,147.87,146.63,147.77
2022-04-26 22:00:00,147.84,147.89,146.67,146.78
2022-04-26 23:00:00,146.86,147.65,146.54,147.63
2022-04-27 00:00:00,147.65,149.22,147.46,148.33
2022-04-27 01:00:00,148.37,150.25,148.37,150.08
2022-04-27 02:00:00,150.06,151.3,149.62,151.13
2022-04-27 03:00:00,151.2,152.39,149.56,149.83
2022-04-27 04:00:00,149.82,150.61,149.18,150.55
2022-04-27 05:00:00,150.5,150.67,148.94,149.49
2022-04-27 06:00:00,149.5,149.54,147.01,148.22
2022-04-27 07:00:00,148.3,148.8,147.11,147.32
2022-04-27 08:00:00,147.37,150.94,147.0,150.05
2022-04-27 09:00:00,150.13,150.4,146.95,147.76
2022-04-27 10:00:00,147.77,149.53,147.73,148.99
2022-04-27 11:00:00,148.96,149.95,148.22,148.61
2022-04-27 12:00:00,148.49,149.98,147.93,149.5
2022-04-27 13:00:00,149.78,149.78,147.46,147.46
2022-04-27 14:00:00,147.66,148.03,146.23,146.83
2022-04-27 15:00:00,146.98,149.39,146.87,148.23
2022-04-27 16:00:00,148.33,149.72,148.23,149.3
2022-04-27 17:00:00,149.31,149.9,149.0,149.66
2022-04-27 18:00:00,149.51,150.14,149.33,149.72
2022-04-27 19:00:00,149.53,150.42,149.15,150.17
2022-04-27 20:00:00,150.19,150.88,149.19,149.33
2022-04-27 21:00:00,149.28,150.78,149.27,150.28
2022-04-27 22:00:00,150.58,150.79,149.49,149.58
2022-04-27 23:00:00,149.74,150.36,149.68,149.94
2022-04-28 00:00:00,150.07,150.1,148.41,148.52
2022-04-28 01:00:00,148.41,149.91,148.17,149.91
2022-04-28 02:00:00,149.89,150.77,149.49,149.49
2022-04-28 03:00:00,149.49,151.64,149.31,151.13
2022-04-28 04:00:00,151.34,152.22,151.14,151.18
2022-04-28 05:00:00,151.21,151.31,149.9,150.53
2022-04-28 06:00:00,150.54,151.01,150.13,150.49
2022-04-28 07:00:00,150.57,150.99,149.12,149.47
2022-04-28 08:00:00,149.46,149.46,146.75,147.49
2022-04-28 09:00:00,147.5,147.85,146.07,147.55
2022-04-28 10:00:00,147.45,150.17,146.22,147.2
2022-04-28 11:00:00,146.93,147.78,145.39,147.47
2022-04-28 12:00:00,147.5,149.13,147.27,149.03
2022-04-28 13:00:00,149.07,149.21,147.54,148.36
2022-04-28 14:00:00,148.35,149.38,147.52,147.83
2022-04-28 15:00:00,147.82,148.73,147.13,147.65
2022-04-28 16:00:00,147.55,148.14,146.47,147.55
2022-04-28 17:00:00,147.64,147.72,146.29,147.05
2022-04-28 18:00:00,147.05,147.58,146.5,147.31
2022-04-28 19:00:00,147.03,147.69,146.27,146.79
2022-04-28 20:00:00,146.94,147.04,146.03,146.53
2022-04-28 21:00:00,146.46,146.46,144.47,145.12
2022-04-28 22:00:00,145.06,145.76,144.35,145.0
2022-04-28 23:00:00,145.0,146.4,143.86,146.05
2022-04-29 00:00:00,146.14,146.61,145.6,145.78
2022-04-29 01:00:00,145.68,146.63,145.32,146.09
2022-04-29 02:00:00,146.05,147.0,145.7,146.64
2022-04-29 03:00:00,146.63,146.63,144.77,144.77
2022-04-29 04:00:00,144.86,144.86,143.3,143.77
2022-04-29 05:00:00,143.65,144.2,139.64,140.84
2022-04-29 06:00:00,140.67,140.7,135.55,137.56
2022-04-29 07:00:00,137.65,140.02,137.25,138.85
2022-04-29 08:00:00,138.7,140.23,138.27,139.83
2022-04-29 09:00:00,139.85,140.33,137.8,138.8
2022-04-29 10:00:00,138.78,139.2,137.83,138.42
2022-04-29 11:00:00,138.38,138.81,135.82,136.0
2022-04-29 12:00:00,136.0,137.03,135.02,135.89
2022-04-29 13:00:00,135.89,136.3,133.7,135.15
2022-04-29 14:00:00,135.1,135.39,131.16,132.19
2022-04-29 15:00:00,132.32,134.76,132.1,134.14
2022-04-29 16:00:00,134.21,134.82,133.36,133.8
2022-04-29 17:00:00,133.64,134.14,132.35,134.04
2022-04-29 18:00:00,133.97,134.78,133.7,134.53
2022-04-29 19:00:00,134.64,135.23,133.84,134.82
2022-04-29 20:00:00,134.82,135.19,133.83,134.85
2022-04-29 21:00:00,134.86,135.32,134.12,134.28
2022-04-29 22:00:00,134.44,134.7,133.7,134.12
2022-04-29 23:00:00,134.23,134.99,134.06,134.73
2022-04-30 00:00:00,135.0,135.28,134.56,135.12
2022-04-30 01:00:00,135.23,135.59,134.58,135.49
2022-04-30 02:00:00,135.57,135.8,134.58,135.0
2022-04-30 03:00:00,134.88,134.88,133.16,134.27
2022-04-30 04:00:00,134.27,134.42,133.21,133.54
2022-04-30 05:00:00,133.69,135.25,133.1,134.91
2022-04-30 06:00:00,134.9,135.41,134.61,135.14
2022-04-30 07:00:00,135.06,135.59,134.07,134.17
2022-04-30 08:00:00,134.07,135.14,133.04,133.37
2022-04-30 09:00:00,133.42,134.24,130.2,130.39
2022-04-30 10:00:00,130.48,132.78,130.07,132.13
2022-04-30 11:00:00,132.02,132.49,130.88,130.99
2022-04-30 12:00:00,130.96,131.06,129.09,130.08
2022-04-30 13:00:00,129.85,130.9,129.49,130.52
2022-04-30 14:00:00,130.58,132.31,130.12,132.23
2022-04-30 15:00:00,132.03,132.44,131.15,131.34
2022-04-30 16:00:00,131.31,131.8,130.05,130.05
2022-04-30 17:00:00,130.05,130.45,127.65,128.28
2022-04-30 18:00:00,128.29,130.25,121.5,127.64
2022-04-30 19:00:00,127.6,128.28,125.14,127.12
2022-04-30 20:00:00,126.88,128.79,125.8,127.85
2022-04-30 21:00:00,127.82,128.57,126.09,126.09
2022-04-30 22:00:00,126.1,128.35,126.1,127.86
2022-04-30 23:00:00,127.86,128.21,126.06,126.71
2022-05-01 00:00:00,126.71,129.4,126.4,128.51
2022-05-01 01:00:00,128.57,129.17,127.22,127.27
2022-05-01 02:00:00,127.29,128.19,126.91,127.94
2022-05-01 03:00:00,127.86,129.03,127.42,128.39
2022-05-01 04:00:00,128.5,128.69,127.09,127.97
2022-05-01 05:00:00,127.88,128.86,127.58,127.66
2022-05-01 06:00:00,127.66,128.02,126.63,127.15
2022-05-01 07:00:00,127.27,128.17,126.26,127.38
2022-05-01 08:00:00,127.42,130.32,126.75,126.95
2022-05-01 09:00:00,126.97,128.04,126.6,127.16
2022-05-01 10:00:00,127.23,129.67,127.23,129.16
2022-05-01 11:00:00,129.22,130.34,128.75,129.5
2022-05-01 12:00:00,129.51,130.16,127.71,127.91
2022-05-01 13:00:00,128.0,128.0,124.42,124.42
2022-05-01 14:00:00,124.4,124.87,122.5,124.37
2022-05-01 15:00:00,124.31,126.06,123.75,126.0
2022-05-01 16:00:00,125.95,126.38,124.53,125.67
2022-05-01 17:00:00,125.86,127.0,125.01,125.5
2022-05-01 18:00:00,125.4,127.83,125.2,127.33
2022-05-01 19:00:00,127.23,130.1,127.17,129.29
2022-05-01 20:00:00,129.37,129.77,127.28,127.29
2022-05-01 21:00:00,127.29,127.32,126.31,126.92
2022-05-01 22:00:00,127.07,127.7,127.07,127.68
2022-05-01 23:00:00,127.49,129.22,127.15,129.04
2022-05-02 00:00:00,129.07,129.82,128.33,129.78
2022-05-02 01:00:00,129.75,130.2,128.19,128.22
2022-05-02 02:00:00,128.31,128.83,127.96,128.31
2022-05-02 03:00:00,128.32,128.32,125.69,125.84
2022-05-02 04:00:00,125.79,127.37,125.51,127.21
2022-05-02 05:00:00,127.06,127.3,125.53,125.73
2022-05-02 06:00:00,125.7,126.37,124.66,125.17
2022-05-02 07:00:00,125.09,126.96,124.73,125.88
2022-05-02 08:00:00,125.83,127.32,124.56,126.6
2022-05-02 09:00:00,126.59,127.73,125.97,127.22
2022-05-02 10:00:00,127.19,127.74,125.5,126.29
2022-05-02 11:00:00,126.26,126.81,124.95,125.23
2022-05-02 12:00:00,125.13,125.38,122.46,123.91
2022-05-02 13:00:00,123.92,124.44,122.64,123.88
2022-05-02 14:00:00,123.79,125.66,123.59,124.99
2022-05-02 15:00:00,125.06,125.16,123.87,124.04
2022-05-02 16:00:00,124.16,125.82,123.96,125.82
2022-05-02 17:00:00,125.87,126.31,124.33,124.35
2022-05-02 18:00:00,124.45,125.76,124.41,125.45
2022-05-02 19:00:00,125.49,125.52,124.44,125.06
2022-05-02 20:00:00,125.06,126.3,124.77,126.11
2022-05-02 21:00:00,126.17,126.67,125.09,125.89
2022-05-02 22:00:00,125.91,126.68,125.71,126.37
2022-05-02 23:00:00,126.47,127.35,125.75,126.23
2022-05-03 00:00:00,126.31,126.76,125.43,126.43
2022-05-03 01:00:00,126.45,126.76,125.7,126.54
