datetime,LAZIOBUSD_open,LAZIOBUSD_high,LAZIOBUSD_low,LAZIOBUSD_close
2022-02-27 03:00:00,2.6658,2.6856,2.6598,2.6642
2022-02-27 04:00:00,2.6938,2.7113,2.6938,2.7
2022-02-27 05:00:00,2.6939,2.7197,2.6856,2.7102
2022-02-27 06:00:00,2.7137,2.7332,2.7137,2.73
2022-02-27 07:00:00,2.7448,2.7448,2.7188,2.7326
2022-02-27 08:00:00,2.7334,2.743,2.671,2.6995
2022-02-27 09:00:00,2.69,2.7079,2.6708,2.7048
2022-02-27 10:00:00,2.7048,2.7315,2.6654,2.7255
2022-02-27 11:00:00,2.7299,2.7745,2.6927,2.7336
2022-02-27 12:00:00,2.7371,2.7442,2.7018,2.7021
2022-02-27 13:00:00,2.7018,2.7748,2.7018,2.7471
2022-02-27 14:00:00,2.7663,3.1443,2.7604,3.0368
2022-02-27 15:00:00,3.0368,3.9735,2.9751,3.076
2022-02-27 16:00:00,3.0689,3.0764,2.9048,2.9673
2022-02-27 17:00:00,2.9509,2.9841,2.8581,2.9304
2022-02-27 18:00:00,2.9234,2.9938,2.8714,2.8759
2022-02-27 19:00:00,2.8931,2.9717,2.8725,2.8972
2022-02-27 20:00:00,2.8831,2.8893,2.8329,2.8329
2022-02-27 21:00:00,2.8307,2.9021,2.8113,2.8543
2022-02-27 22:00:00,2.855,2.9302,2.8116,2.8116
2022-02-27 23:00:00,2.8231,2.8307,2.759,2.7925
2022-02-28 00:00:00,2.7885,2.8401,2.7772,2.7988
2022-02-28 01:00:00,2.7996,3.1499,2.7266,3.0325
2022-02-28 02:00:00,3.0394,3.1861,2.963,3.0174
2022-02-28 03:00:00,3.0171,3.2,2.98,3.1159
2022-02-28 04:00:00,3.1175,3.6641,3.105,3.2741
2022-02-28 05:00:00,3.2796,3.3603,3.18,3.2551
2022-02-28 06:00:00,3.2698,3.4697,3.2538,3.3034
2022-02-28 07:00:00,3.3089,3.3892,3.24,3.2853
