datetime,STPTBUSD_open,STPTBUSD_high,STPTBUSD_low,STPTBUSD_close
2022-03-27 20:00:00,0.10298,0.10453,0.10298,0.10365
2022-03-27 21:00:00,0.10406,0.10458,0.10406,0.10458
2022-03-27 22:00:00,0.10458,0.10702,0.10458,0.1066
2022-03-27 23:00:00,0.10677,0.1095,0.10657,0.10866
2022-03-28 00:00:00,0.10866,0.10866,0.10602,0.10674
2022-03-28 01:00:00,0.10625,0.10639,0.10542,0.10637
2022-03-28 02:00:00,0.10639,0.10723,0.10611,0.10723
2022-03-28 03:00:00,0.10729,0.10871,0.10714,0.10751
2022-03-28 04:00:00,0.10753,0.10789,0.10628,0.1071
2022-03-28 05:00:00,0.10755,0.10807,0.10714,0.10714
2022-03-28 06:00:00,0.10763,0.10781,0.1071,0.10715
2022-03-28 07:00:00,0.10733,0.10756,0.10675,0.10719
2022-03-28 08:00:00,0.10719,0.1077,0.10714,0.10728
2022-03-28 09:00:00,0.10769,0.10769,0.10673,0.10758
2022-03-28 10:00:00,0.10749,0.10758,0.10661,0.10661
2022-03-28 11:00:00,0.10685,0.10708,0.10659,0.10672
2022-03-28 12:00:00,0.10668,0.1072,0.10668,0.1072
2022-03-28 13:00:00,0.1072,0.1081,0.1072,0.1081
2022-03-28 14:00:00,0.10804,0.10804,0.1071,0.1071
2022-03-28 15:00:00,0.10702,0.10714,0.10686,0.10693
2022-03-28 16:00:00,0.10716,0.1076,0.10583,0.10638
2022-03-28 17:00:00,0.10619,0.10619,0.10619,0.10619
2022-03-28 18:00:00,0.10617,0.11189,0.10426,0.1051
2022-03-28 19:00:00,0.10516,0.10652,0.10443,0.10621
2022-03-28 20:00:00,0.10621,0.10637,0.10535,0.10636
2022-03-28 21:00:00,0.10573,0.10573,0.10531,0.10531
2022-03-28 22:00:00,0.1051,0.10658,0.10488,0.10575
2022-03-28 23:00:00,0.10656,0.1068,0.10632,0.1068
2022-03-29 00:00:00,0.1068,0.1068,0.10652,0.10652
2022-03-29 01:00:00,0.10669,0.10745,0.10616,0.10616
2022-03-29 02:00:00,0.10615,0.10615,0.10574,0.10574
2022-03-29 03:00:00,0.10593,0.1062,0.10583,0.1062
2022-03-29 04:00:00,0.10632,0.10642,0.10586,0.10586
2022-03-29 05:00:00,0.10574,0.10625,0.10569,0.10616
2022-03-29 06:00:00,0.10586,0.10703,0.10586,0.10703
2022-03-29 07:00:00,0.10703,0.1078,0.10689,0.10777
2022-03-29 08:00:00,0.10775,0.10797,0.10724,0.10755
2022-03-29 09:00:00,0.10747,0.10818,0.10663,0.10818
2022-03-29 10:00:00,0.1079,0.10823,0.1066,0.1066
2022-03-29 11:00:00,0.10659,0.10659,0.10221,0.10482
2022-03-29 12:00:00,0.10497,0.10497,0.10374,0.10408
2022-03-29 13:00:00,0.10448,0.10498,0.10448,0.10498
2022-03-29 14:00:00,0.10498,0.10594,0.10494,0.10594
2022-03-29 15:00:00,0.10549,0.10558,0.10456,0.10456
2022-03-29 16:00:00,0.10497,0.10507,0.10447,0.10483
2022-03-29 17:00:00,0.10431,0.10431,0.1023,0.10383
2022-03-29 18:00:00,0.10383,0.10504,0.10383,0.10504
2022-03-29 19:00:00,0.10504,0.10659,0.1046,0.10541
2022-03-29 20:00:00,0.10547,0.10692,0.10159,0.10233
2022-03-29 21:00:00,0.10239,0.10336,0.10234,0.10336
2022-03-29 22:00:00,0.10336,0.10395,0.10336,0.10363
2022-03-29 23:00:00,0.10359,0.10359,0.10322,0.10322
2022-03-30 00:00:00,0.10375,0.10547,0.10375,0.10542
2022-03-30 01:00:00,0.10542,0.10547,0.10439,0.10499
2022-03-30 02:00:00,0.10487,0.10516,0.10487,0.10516
2022-03-30 03:00:00,0.10516,0.10604,0.10476,0.10604
2022-03-30 04:00:00,0.10602,0.10657,0.10539,0.10657
2022-03-30 05:00:00,0.10658,0.10692,0.10616,0.10692
2022-03-30 06:00:00,0.10692,0.10703,0.10584,0.1062
2022-03-30 07:00:00,0.10616,0.10682,0.10553,0.10676
2022-03-30 08:00:00,0.10636,0.10783,0.10574,0.10637
2022-03-30 09:00:00,0.10597,0.10654,0.10539,0.10586
2022-03-30 10:00:00,0.1058,0.10594,0.10511,0.10576
2022-03-30 11:00:00,0.10533,0.10806,0.10532,0.10723
2022-03-30 12:00:00,0.1066,0.1076,0.10642,0.10721
