datetime,MANABUSD_open,MANABUSD_high,MANABUSD_low,MANABUSD_close
2022-01-17 01:00:00,3.0166,3.0311,3.0085,3.0115
2022-01-17 02:00:00,3.0115,3.0345,3.0092,3.0132
2022-01-17 03:00:00,3.0141,3.0223,2.9915,3.0199
2022-01-17 04:00:00,3.0194,3.0751,3.014,3.0566
2022-01-17 05:00:00,3.0526,3.069,3.0,3.0255
2022-01-17 06:00:00,3.0248,3.031,2.9755,2.9955
2022-01-17 07:00:00,2.9974,3.0022,2.9382,2.968
2022-01-17 08:00:00,2.9652,2.9985,2.9594,2.997
2022-01-17 09:00:00,2.997,3.0104,2.9758,2.9826
2022-01-17 10:00:00,2.9829,2.9836,2.9117,2.9304
2022-01-17 11:00:00,2.9283,2.9453,2.8711,2.9157
2022-01-17 12:00:00,2.9143,2.9189,2.88,2.9079
2022-01-17 13:00:00,2.908,2.9277,2.8881,2.9256
2022-01-17 14:00:00,2.9256,2.9338,2.9106,2.9287
2022-01-17 15:00:00,2.9278,2.935,2.9044,2.9214
2022-01-17 16:00:00,2.9189,2.9243,2.864,2.8883
2022-01-17 17:00:00,2.8874,2.9326,2.88,2.9066
2022-01-17 18:00:00,2.9128,2.9295,2.9,2.9026
2022-01-17 19:00:00,2.9037,2.9274,2.8975,2.9175
2022-01-17 20:00:00,2.9171,2.927,2.8973,2.9066
2022-01-17 21:00:00,2.9068,2.9134,2.8877,2.9106
2022-01-17 22:00:00,2.9116,2.9177,2.8749,2.8835
2022-01-17 23:00:00,2.8829,2.8871,2.8413,2.8694
2022-01-18 00:00:00,2.8666,2.8889,2.8568,2.8829
2022-01-18 01:00:00,2.8838,2.9168,2.8838,2.9107
2022-01-18 02:00:00,2.9108,2.9158,2.8807,2.8978
2022-01-18 03:00:00,2.898,2.898,2.8446,2.8463
2022-01-18 04:00:00,2.8468,2.8589,2.8,2.8345
2022-01-18 05:00:00,2.8356,2.8578,2.8244,2.8355
2022-01-18 06:00:00,2.8362,2.8479,2.823,2.8442
2022-01-18 07:00:00,2.8456,2.8506,2.8182,2.8415
2022-01-18 08:00:00,2.8432,2.865,2.8001,2.847
2022-01-18 09:00:00,2.847,2.8588,2.7758,2.7933
2022-01-18 10:00:00,2.7926,2.83,2.7797,2.8087
2022-01-18 11:00:00,2.8073,2.8354,2.7981,2.82
2022-01-18 12:00:00,2.8248,2.8273,2.8027,2.81
2022-01-18 13:00:00,2.8102,2.8174,2.7901,2.8018
2022-01-18 14:00:00,2.804,2.8293,2.8013,2.8233
2022-01-18 15:00:00,2.8232,2.8297,2.8087,2.8258
