datetime,VOXELBUSD_open,VOXELBUSD_high,VOXELBUSD_low,VOXELBUSD_close
2022-02-02 18:00:00,1.7882,1.8457,1.7882,1.8091
2022-02-02 19:00:00,1.812,1.8204,1.77,1.7879
2022-02-02 20:00:00,1.7904,1.8597,1.7655,1.7728
2022-02-02 21:00:00,1.7655,1.772,1.73,1.7595
2022-02-02 22:00:00,1.7609,1.8011,1.7581,1.7709
2022-02-02 23:00:00,1.7691,1.8178,1.7688,1.814
2022-02-03 00:00:00,1.8139,1.8419,1.7932,1.8257
2022-02-03 01:00:00,1.822,1.8302,1.7785,1.7832
2022-02-03 02:00:00,1.7851,2.0224,1.782,1.9763
2022-02-03 03:00:00,1.9765,2.0775,1.9225,1.9774
2022-02-03 04:00:00,1.9661,1.9752,1.8927,1.8927
2022-02-03 05:00:00,1.8967,1.9283,1.8281,1.9089
2022-02-03 06:00:00,1.9016,1.9018,1.8422,1.8881
2022-02-03 07:00:00,1.8882,1.8957,1.7777,1.8143
2022-02-03 08:00:00,1.8111,1.825,1.7603,1.7905
2022-02-03 09:00:00,1.7905,1.8008,1.7702,1.7856
2022-02-03 10:00:00,1.7848,1.8823,1.7833,1.8401
2022-02-03 11:00:00,1.8485,1.8525,1.8025,1.8083
2022-02-03 12:00:00,1.8005,1.8514,1.7902,1.8224
2022-02-03 13:00:00,1.8225,1.8318,1.7985,1.7985
2022-02-03 14:00:00,1.8024,1.8102,1.7702,1.7702
2022-02-03 15:00:00,1.774,1.7835,1.7651,1.7671
2022-02-03 16:00:00,1.7794,1.7911,1.7717,1.7863
2022-02-03 17:00:00,1.7862,1.9279,1.777,1.9168
2022-02-03 18:00:00,1.9168,1.9267,1.8982,1.9174
2022-02-03 19:00:00,1.9181,1.9303,1.8785,1.8911
2022-02-03 20:00:00,1.8878,1.8885,1.8227,1.8293
2022-02-03 21:00:00,1.8329,1.8685,1.8204,1.8599
2022-02-03 22:00:00,1.8677,1.8677,1.8393,1.8393
2022-02-03 23:00:00,1.8454,1.8454,1.8326,1.8326
2022-02-04 00:00:00,1.8389,1.8703,1.8389,1.8671
2022-02-04 01:00:00,1.8698,1.9355,1.8695,1.8728
2022-02-04 02:00:00,1.8833,1.8933,1.8769,1.8844
2022-02-04 03:00:00,1.8913,2.0112,1.884,1.9472
2022-02-04 04:00:00,1.9472,1.9914,1.9466,1.9725
2022-02-04 05:00:00,1.9717,1.9988,1.9286,1.935
2022-02-04 06:00:00,1.9353,1.9495,1.9117,1.9117
2022-02-04 07:00:00,1.9148,1.9324,1.9148,1.9148
2022-02-04 08:00:00,1.9213,1.9432,1.8528,1.8631
2022-02-04 09:00:00,1.8582,1.8957,1.8578,1.8843
2022-02-04 10:00:00,1.8849,1.9841,1.8803,1.9472
2022-02-04 11:00:00,1.9516,2.0274,1.9478,2.006
2022-02-04 12:00:00,2.0033,2.0036,1.9582,1.9801
2022-02-04 13:00:00,1.9801,1.9835,1.9523,1.9766
2022-02-04 14:00:00,1.9765,2.0014,1.9635,1.9997
2022-02-04 15:00:00,1.9997,2.0,1.9637,1.9719
2022-02-04 16:00:00,1.9672,1.9697,1.9464,1.9557
2022-02-04 17:00:00,1.9557,1.9637,1.9363,1.9414
2022-02-04 18:00:00,1.9345,2.0082,1.9344,1.9771
2022-02-04 19:00:00,1.9771,2.0112,1.9644,1.9849
2022-02-04 20:00:00,1.981,2.0033,1.9732,1.9759
2022-02-04 21:00:00,1.983,1.992,1.9666,1.992
2022-02-04 22:00:00,1.992,2.017,1.9734,2.0067
2022-02-04 23:00:00,1.9978,2.02,1.9901,1.9924
2022-02-05 00:00:00,1.9925,2.0162,1.991,2.015
2022-02-05 01:00:00,2.0156,2.0365,2.0075,2.0211
2022-02-05 02:00:00,2.0211,2.0211,1.9739,1.9739
2022-02-05 03:00:00,1.9739,2.0086,1.9702,1.987
2022-02-05 04:00:00,1.987,2.0144,1.9767,1.9916
2022-02-05 05:00:00,1.9915,1.9933,1.96,1.9757
2022-02-05 06:00:00,1.97,1.9767,1.895,1.9085
2022-02-05 07:00:00,1.9091,2.0307,1.9091,1.9951
2022-02-05 08:00:00,1.995,2.0,1.9552,1.97
2022-02-05 09:00:00,1.97,1.9893,1.9484,1.9558
2022-02-05 10:00:00,1.9656,1.98,1.9408,1.9709
2022-02-05 11:00:00,1.98,1.98,1.9361,1.9416
2022-02-05 12:00:00,1.9351,1.9369,1.9108,1.9286
2022-02-05 13:00:00,1.9283,1.9556,1.9239,1.9461
2022-02-05 14:00:00,1.9431,1.9461,1.93,1.9351
2022-02-05 15:00:00,1.9283,1.9321,1.919,1.9315
2022-02-05 16:00:00,1.9314,1.9391,1.9251,1.9335
2022-02-05 17:00:00,1.9372,1.9591,1.9301,1.9591
2022-02-05 18:00:00,1.9591,1.99,1.952,1.9882
2022-02-05 19:00:00,1.9771,1.9971,1.9592,1.9599
2022-02-05 20:00:00,1.966,2.0632,1.9633,1.9977
2022-02-05 21:00:00,1.9978,2.07,1.9938,2.0359
2022-02-05 22:00:00,2.0336,2.0382,1.9833,1.9833
2022-02-05 23:00:00,1.9944,1.9944,1.96,1.9699
2022-02-06 00:00:00,1.9764,2.212,1.9684,2.0932
2022-02-06 01:00:00,2.09,2.1683,2.0299,2.1
2022-02-06 02:00:00,2.0911,2.1799,2.081,2.1374
2022-02-06 03:00:00,2.1375,2.1419,2.0771,2.1063
2022-02-06 04:00:00,2.1069,2.1397,2.0866,2.1106
2022-02-06 05:00:00,2.1107,2.2133,2.1107,2.1412
2022-02-06 06:00:00,2.1426,2.19,2.117,2.19
2022-02-06 07:00:00,2.1909,2.2019,2.145,2.1592
2022-02-06 08:00:00,2.155,2.1683,2.1077,2.1518
2022-02-06 09:00:00,2.1587,2.1603,2.0379,2.0379
2022-02-06 10:00:00,2.0461,2.082,2.0076,2.0714
2022-02-06 11:00:00,2.0714,2.0951,2.0488,2.0869
2022-02-06 12:00:00,2.08,2.1,2.0444,2.0645
2022-02-06 13:00:00,2.0647,2.0868,2.0583,2.0791
2022-02-06 14:00:00,2.0791,2.1514,2.0791,2.1231
2022-02-06 15:00:00,2.1192,2.1259,2.0784,2.1
2022-02-06 16:00:00,2.1023,2.1115,2.0758,2.0839
2022-02-06 17:00:00,2.0839,2.091,2.05,2.0674
2022-02-06 18:00:00,2.0768,2.0951,2.0601,2.0737
2022-02-06 19:00:00,2.0718,2.0807,2.0541,2.062
2022-02-06 20:00:00,2.06,2.0616,2.0212,2.045
2022-02-06 21:00:00,2.045,2.0625,2.0318,2.0381
2022-02-06 22:00:00,2.0451,2.1098,2.0333,2.08
2022-02-06 23:00:00,2.08,2.1354,2.0739,2.1091
2022-02-07 00:00:00,2.1092,2.12,2.0704,2.0869
2022-02-07 01:00:00,2.0875,2.0983,2.06,2.0623
2022-02-07 02:00:00,2.0587,2.0769,2.0406,2.042
2022-02-07 03:00:00,2.042,2.0577,2.0226,2.0443
2022-02-07 04:00:00,2.039,2.0482,1.975,2.0014
2022-02-07 05:00:00,2.0031,2.0417,1.9882,2.0043
2022-02-07 06:00:00,2.0043,2.0244,2.0043,2.0183
2022-02-07 07:00:00,2.0181,2.0415,2.0009,2.0235
2022-02-07 08:00:00,2.0224,2.06,2.0207,2.0438
2022-02-07 09:00:00,2.0426,2.0448,2.0176,2.0313
2022-02-07 10:00:00,2.0314,2.0608,2.027,2.0515
