datetime,ETHTUSD_open,ETHTUSD_high,ETHTUSD_low,ETHTUSD_close
2022-03-31 01:00:00,3391.57,3404.65,3391.57,3403.28
2022-03-31 02:00:00,3399.72,3403.46,3396.64,3403.46
2022-03-31 03:00:00,3403.29,3413.86,3398.85,3408.18
2022-03-31 04:00:00,3410.86,3422.7,3400.96,3420.38
2022-03-31 05:00:00,3420.27,3427.35,3413.31,3414.44
2022-03-31 06:00:00,3417.52,3417.52,3402.09,3412.07
2022-03-31 07:00:00,3411.3,3443.87,3406.23,3424.04
2022-03-31 08:00:00,3440.36,3442.28,3382.0,3382.0
2022-03-31 09:00:00,3378.47,3383.24,3338.11,3380.4
2022-03-31 10:00:00,3380.4,3386.37,3347.86,3349.14
2022-03-31 11:00:00,3350.82,3354.48,3268.95,3268.95
2022-03-31 12:00:00,3269.63,3301.56,3269.63,3292.43
2022-03-31 13:00:00,3290.96,3307.34,3265.0,3307.34
2022-03-31 14:00:00,3307.9,3310.25,3278.1,3292.02
2022-03-31 15:00:00,3287.4,3301.65,3280.36,3294.55
2022-03-31 16:00:00,3297.59,3300.3,3293.52,3295.7
2022-03-31 17:00:00,3288.48,3289.8,3276.09,3288.51
2022-03-31 18:00:00,3287.61,3294.46,3265.9,3276.52
2022-03-31 19:00:00,3281.79,3306.52,3279.55,3302.24
2022-03-31 20:00:00,3297.25,3298.65,3255.53,3257.72
2022-03-31 21:00:00,3257.1,3260.25,3211.71,3222.68
2022-03-31 22:00:00,3223.67,3242.28,3210.9,3242.28
