datetime,BTCUSDC_open,BTCUSDC_high,BTCUSDC_low,BTCUSDC_close
2022-01-16 04:00:00,43024.88,43091.7,42876.54,43062.38
2022-01-16 05:00:00,43061.19,43147.78,42987.03,42987.03
2022-01-16 06:00:00,42970.7,43243.88,42953.0,43232.63
2022-01-16 07:00:00,43231.18,43276.08,43160.6,43252.7
2022-01-16 08:00:00,43270.41,43323.86,43085.8,43085.8
2022-01-16 09:00:00,43072.41,43153.65,43061.89,43129.31
2022-01-16 10:00:00,43111.24,43209.86,42919.68,42924.28
2022-01-16 11:00:00,42897.62,43054.01,42800.0,43009.7
2022-01-16 12:00:00,43023.1,43160.01,42995.7,43010.0
2022-01-16 13:00:00,43007.97,43207.59,42595.04,43150.4
2022-01-16 14:00:00,43155.98,43448.61,43054.9,43354.06
2022-01-16 15:00:00,43334.09,43391.41,43169.46,43265.03
2022-01-16 16:00:00,43275.99,43492.1,43209.96,43447.29
2022-01-16 17:00:00,43447.29,43462.95,43076.15,43109.61
2022-01-16 18:00:00,43105.51,43149.2,42999.79,43097.98
2022-01-16 19:00:00,43098.93,43098.93,42826.88,42840.89
2022-01-16 20:00:00,42815.85,43133.03,42768.81,43075.5
2022-01-16 21:00:00,43079.68,43109.14,42916.71,42976.04
2022-01-16 22:00:00,43001.0,43251.65,43001.0,43229.34
2022-01-16 23:00:00,43250.36,43288.0,43074.7,43119.6
2022-01-17 00:00:00,43125.67,43197.37,42900.0,42904.09
2022-01-17 01:00:00,42906.18,42953.6,42839.28,42910.77
2022-01-17 02:00:00,42905.35,42964.9,42689.6,42919.2
2022-01-17 03:00:00,42961.64,43003.34,42653.59,42657.13
2022-01-17 04:00:00,42647.35,42806.69,42600.0,42615.16
2022-01-17 05:00:00,42595.2,42700.96,42340.44,42699.69
2022-01-17 06:00:00,42717.44,42895.03,42670.05,42738.5
2022-01-17 07:00:00,42771.2,42973.79,42668.92,42679.6
2022-01-17 08:00:00,42689.7,42883.43,42591.12,42813.74
2022-01-17 09:00:00,42831.19,42908.56,42758.56,42867.57
2022-01-17 10:00:00,42867.57,42910.12,42659.6,42815.1
2022-01-17 11:00:00,42841.44,42860.88,42669.0,42687.1
2022-01-17 12:00:00,42657.2,42794.13,42436.36,42588.7
2022-01-17 13:00:00,42604.29,42687.4,42514.88,42633.1
2022-01-17 14:00:00,42661.1,42742.81,42587.0,42692.82
2022-01-17 15:00:00,42665.49,42700.3,42393.81,42496.54
2022-01-17 16:00:00,42488.6,42549.56,42160.01,42239.54
2022-01-17 17:00:00,42204.4,42241.7,41970.0,42087.1
2022-01-17 18:00:00,42079.6,42203.04,41842.4,42189.55
2022-01-17 19:00:00,42205.74,42337.62,42136.4,42255.3
2022-01-17 20:00:00,42247.49,42324.0,42037.0,42101.9
2022-01-17 21:00:00,42100.42,42159.35,41624.73,41737.6
2022-01-17 22:00:00,41676.4,42377.71,41574.4,42096.65
2022-01-17 23:00:00,42115.09,42268.84,42066.27,42217.34
2022-01-18 00:00:00,42215.35,42433.39,42156.72,42375.1
2022-01-18 01:00:00,42365.2,42452.44,42208.43,42263.2
2022-01-18 02:00:00,42253.42,42313.4,42170.89,42310.3
2022-01-18 03:00:00,42307.84,42325.91,41987.8,42051.9
2022-01-18 04:00:00,42034.9,42139.72,41907.22,42070.38
2022-01-18 05:00:00,42065.81,42201.58,42022.04,42128.1
2022-01-18 06:00:00,42175.3,42360.3,42175.3,42268.81
2022-01-18 07:00:00,42273.14,42286.6,41974.36,42073.31
2022-01-18 08:00:00,42015.9,42063.0,41633.89,41711.87
2022-01-18 09:00:00,41753.0,41997.23,41449.99,41935.2
2022-01-18 10:00:00,41950.38,42066.35,41857.95,41958.89
2022-01-18 11:00:00,41924.0,41924.0,41713.0,41909.73
2022-01-18 12:00:00,41918.43,41962.61,41643.88,41827.3
2022-01-18 13:00:00,41840.92,41840.92,41426.2,41660.78
2022-01-18 14:00:00,41669.42,41693.5,41267.02,41453.0
2022-01-18 15:00:00,41432.83,41854.97,41342.22,41575.51
2022-01-18 16:00:00,41590.6,41790.3,41405.61,41722.21
2022-01-18 17:00:00,41744.46,41747.07,41449.6,41449.6
2022-01-18 18:00:00,41451.39,41677.0,41393.4,41659.0
2022-01-18 19:00:00,41638.07,41777.5,41605.34,41703.4
2022-01-18 20:00:00,41712.5,41792.0,41513.21,41792.0
2022-01-18 21:00:00,41803.61,42496.97,41752.23,42396.97
2022-01-18 22:00:00,42391.92,42680.8,42247.56,42470.68
2022-01-18 23:00:00,42489.35,42579.1,42356.26,42387.7
2022-01-19 00:00:00,42406.5,42498.18,42180.94,42302.1
2022-01-19 01:00:00,42310.21,42471.75,42263.4,42440.63
2022-01-19 02:00:00,42453.75,42522.1,42298.98,42327.8
2022-01-19 03:00:00,42325.63,42336.8,41587.3,41711.9
2022-01-19 04:00:00,41751.45,41822.8,41607.5,41713.12
2022-01-19 05:00:00,41703.9,41815.47,41678.5,41773.68
2022-01-19 06:00:00,41765.65,41856.0,41678.6,41678.6
2022-01-19 07:00:00,41667.5,41667.5,41181.1,41270.7
2022-01-19 08:00:00,41281.05,41408.8,41150.0,41353.6
2022-01-19 09:00:00,41348.9,41678.04,41335.9,41619.2
2022-01-19 10:00:00,41580.78,41625.1,41297.23,41509.3
2022-01-19 11:00:00,41510.31,42175.15,41510.31,42056.09
2022-01-19 12:00:00,42047.92,42269.47,41932.6,42112.85
2022-01-19 13:00:00,42117.98,42343.47,42039.61,42213.81
2022-01-19 14:00:00,42217.92,42577.44,42083.09,42501.61
2022-01-19 15:00:00,42536.5,42536.5,41858.15,41990.76
2022-01-19 16:00:00,42001.81,42067.33,41704.76,42035.73
2022-01-19 17:00:00,42026.65,42374.2,41976.43,42163.64
2022-01-19 18:00:00,42175.41,42249.56,41889.39,41995.26
2022-01-19 19:00:00,42012.04,42027.4,41751.45,41894.2
2022-01-19 20:00:00,41884.77,41972.14,41574.54,41640.05
2022-01-19 21:00:00,41642.28,41843.33,41642.28,41714.79
2022-01-19 22:00:00,41704.23,42002.95,41644.35,41990.17
2022-01-19 23:00:00,41980.86,41982.83,41650.39,41686.25
2022-01-20 00:00:00,41690.53,41898.09,41661.7,41891.96
2022-01-20 01:00:00,41846.07,41896.3,41671.4,41790.7
2022-01-20 02:00:00,41799.5,42089.2,41799.5,41980.3
2022-01-20 03:00:00,41987.71,42087.17,41905.71,41937.37
2022-01-20 04:00:00,41963.41,42000.0,41890.15,41907.87
2022-01-20 05:00:00,41916.89,41964.01,41787.26,41911.07
2022-01-20 06:00:00,41909.08,42062.9,41906.43,42003.44
2022-01-20 07:00:00,41993.88,42179.4,41902.0,42070.94
2022-01-20 08:00:00,42070.94,42089.8,41881.2,41984.29
2022-01-20 09:00:00,41984.29,42099.61,41823.92,42048.7
2022-01-20 10:00:00,42046.55,42161.8,42024.08,42142.6
2022-01-20 11:00:00,42156.24,42240.29,42055.51,42145.34
2022-01-20 12:00:00,42133.7,42133.7,41939.1,42036.1
2022-01-20 13:00:00,42011.62,42492.79,41986.47,42430.8
2022-01-20 14:00:00,42445.4,43075.35,42373.45,43000.62
2022-01-20 15:00:00,43000.0,43462.78,42959.24,43304.92
2022-01-20 16:00:00,43343.56,43501.36,43176.05,43322.47
2022-01-20 17:00:00,43301.76,43317.57,43000.0,43046.1
2022-01-20 18:00:00,43009.87,43091.63,42843.92,42849.23
2022-01-20 19:00:00,42855.75,43212.35,42813.0,42917.02
2022-01-20 20:00:00,42944.97,42997.33,42572.76,42730.08
2022-01-20 21:00:00,42717.05,42717.05,41315.0,41319.53
2022-01-20 22:00:00,41300.0,41545.64,40844.0,41157.7
2022-01-20 23:00:00,41140.67,41155.29,40566.03,40680.8
2022-01-21 00:00:00,40664.44,41104.98,40348.12,40919.9
2022-01-21 01:00:00,40904.8,40918.38,39738.52,39766.83
2022-01-21 02:00:00,39738.63,40269.68,39309.15,39837.16
