datetime,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close
2022-03-04 22:00:00,2608.75,2617.23,2574.48,2611.53
2022-03-04 23:00:00,2612.46,2624.05,2605.57,2622.5
2022-03-05 00:00:00,2621.31,2621.82,2595.45,2595.45
2022-03-05 01:00:00,2597.19,2618.99,2589.54,2613.51
2022-03-05 02:00:00,2613.92,2622.64,2607.84,2614.23
2022-03-05 03:00:00,2614.39,2630.48,2610.9,2626.06
2022-03-05 04:00:00,2624.73,2628.2,2610.3,2617.96
2022-03-05 05:00:00,2618.04,2627.95,2615.15,2625.24
2022-03-05 06:00:00,2625.96,2634.15,2621.57,2626.51
2022-03-05 07:00:00,2625.74,2642.78,2623.72,2640.36
2022-03-05 08:00:00,2640.6,2661.9,2630.95,2650.86
2022-03-05 09:00:00,2650.66,2657.5,2642.23,2648.93
2022-03-05 10:00:00,2649.23,2653.22,2633.92,2647.95
2022-03-05 11:00:00,2647.52,2656.55,2645.3,2647.63
2022-03-05 12:00:00,2648.2,2672.28,2647.92,2653.84
2022-03-05 13:00:00,2654.3,2654.3,2631.62,2634.98
2022-03-05 14:00:00,2638.05,2652.89,2626.73,2641.66
2022-03-05 15:00:00,2642.8,2649.15,2636.78,2642.34
2022-03-05 16:00:00,2642.49,2685.21,2641.24,2658.2
2022-03-05 17:00:00,2657.71,2673.58,2655.58,2668.55
2022-03-05 18:00:00,2669.28,2669.28,2656.32,2668.31
2022-03-05 19:00:00,2664.72,2675.84,2663.55,2670.46
2022-03-05 20:00:00,2670.46,2681.73,2664.86,2666.74
2022-03-05 21:00:00,2666.62,2669.22,2652.99,2654.92
2022-03-05 22:00:00,2656.17,2670.57,2650.79,2670.53
2022-03-05 23:00:00,2669.43,2669.43,2656.81,2662.94
2022-03-06 00:00:00,2663.77,2676.21,2661.97,2674.49
2022-03-06 01:00:00,2673.82,2673.82,2659.02,2659.02
2022-03-06 02:00:00,2659.42,2667.15,2654.46,2663.35
2022-03-06 03:00:00,2663.46,2665.44,2633.43,2635.79
2022-03-06 04:00:00,2636.64,2657.38,2615.84,2646.81
2022-03-06 05:00:00,2646.46,2657.83,2646.46,2649.87
