datetime,WBTCUSD_open,WBTCUSD_high,WBTCUSD_low,WBTCUSD_close
2022-02-25 20:00:00,38670.54,39237.34,38635.05,39137.38
2022-02-25 21:00:00,39098.3,39210.92,38935.62,38935.62
2022-02-25 22:00:00,38931.59,39515.73,38901.59,39472.97
2022-02-25 23:00:00,39417.89,39620.68,39154.1,39164.36
2022-02-26 00:00:00,39166.15,40274.62,39166.15,39760.15
2022-02-26 01:00:00,39760.15,39822.18,39616.85,39677.81
2022-02-26 02:00:00,39721.63,39722.69,39500.0,39594.56
2022-02-26 03:00:00,39602.09,39602.09,39310.34,39445.5
2022-02-26 04:00:00,39500.11,39500.59,39370.83,39398.45
2022-02-26 05:00:00,39396.68,39396.68,39000.0,39045.23
2022-02-26 06:00:00,39094.75,39242.4,39078.18,39092.45
2022-02-26 07:00:00,39061.17,39215.42,39034.9,39215.42
2022-02-26 08:00:00,39310.34,39567.64,38714.49,38857.69
2022-02-26 09:00:00,38817.82,38890.66,38627.19,38868.51
2022-02-26 10:00:00,38943.81,39118.75,38910.67,39118.75
2022-02-26 11:00:00,39129.62,39129.62,38898.96,38903.7
2022-02-26 12:00:00,38888.95,39035.54,38812.74,39035.54
2022-02-26 13:00:00,38979.68,39197.42,38947.53,39151.38
2022-02-26 14:00:00,39176.42,39317.01,39013.9,39199.14
2022-02-26 15:00:00,39281.39,39334.64,39226.56,39226.56
2022-02-26 16:00:00,39201.67,39331.94,39118.99,39118.99
2022-02-26 17:00:00,39170.54,39321.23,39170.54,39240.04
2022-02-26 18:00:00,39195.66,39242.56,38899.47,39153.27
2022-02-26 19:00:00,39168.29,39408.42,39168.29,39342.03
2022-02-26 20:00:00,39277.88,39438.62,39244.2,39346.26
2022-02-26 21:00:00,39340.92,39668.9,39329.82,39446.18
2022-02-26 22:00:00,39442.6,39442.6,39120.94,39120.94
2022-02-26 23:00:00,39120.94,39154.05,38938.4,39103.96
2022-02-27 00:00:00,39089.32,39265.58,38776.11,38791.19
2022-02-27 01:00:00,38752.99,38752.99,38327.4,38337.78
2022-02-27 02:00:00,38334.74,38583.3,38334.74,38570.39
2022-02-27 03:00:00,38634.61,38716.93,38596.13,38596.13
2022-02-27 04:00:00,38585.76,38658.69,38506.97,38506.97
2022-02-27 05:00:00,38500.0,38684.02,38500.0,38656.19
2022-02-27 06:00:00,38632.99,38848.26,38632.99,38790.95
2022-02-27 07:00:00,38881.57,38894.55,38781.36,38781.36
2022-02-27 08:00:00,38788.59,38877.08,38722.99,38877.08
2022-02-27 09:00:00,38933.3,39135.48,38933.3,39106.39
2022-02-27 10:00:00,39087.86,39407.03,39054.82,39404.44
2022-02-27 11:00:00,39370.27,39608.99,39370.27,39608.99
2022-02-27 12:00:00,39605.55,39880.17,39562.26,39776.44
2022-02-27 13:00:00,39707.47,39733.23,38638.22,38974.05
2022-02-27 14:00:00,38999.34,39070.25,38720.11,38829.14
2022-02-27 15:00:00,38889.66,39403.94,38889.66,39360.9
2022-02-27 16:00:00,39383.86,39390.2,39000.0,39108.22
2022-02-27 17:00:00,39172.21,39172.21,38925.2,38925.2
2022-02-27 18:00:00,38900.0,39121.15,38865.25,38968.2
2022-02-27 19:00:00,38933.01,38948.53,37601.31,37723.03
2022-02-27 20:00:00,37827.36,38247.24,37437.39,37996.01
2022-02-27 21:00:00,38026.68,38026.68,37028.77,37423.68
2022-02-27 22:00:00,37455.77,37921.51,37455.77,37820.25
2022-02-27 23:00:00,37777.22,37802.53,37325.19,37802.53
2022-02-28 00:00:00,37686.96,37844.54,37507.6,37626.56
2022-02-28 01:00:00,37675.12,38366.37,37660.68,38080.51
2022-02-28 02:00:00,38094.84,38094.84,37779.23,37784.17
2022-02-28 03:00:00,37784.17,37918.33,37689.44,37918.33
2022-02-28 04:00:00,38003.41,38010.69,37767.49,37767.49
2022-02-28 05:00:00,37872.37,37967.62,37662.11,37662.11
2022-02-28 06:00:00,37635.96,38134.81,37508.69,38039.27
2022-02-28 07:00:00,38171.81,38398.92,38001.36,38376.17
2022-02-28 08:00:00,38472.53,38593.53,38279.08,38309.98
2022-02-28 09:00:00,38457.19,38457.19,38314.06,38314.06
2022-02-28 10:00:00,38204.85,38392.22,38200.76,38200.76
2022-02-28 11:00:00,38353.67,38411.46,38320.76,38411.46
2022-02-28 12:00:00,38469.98,38609.37,38176.67,38249.37
2022-02-28 13:00:00,38156.06,38312.13,37998.18,37998.18
2022-02-28 14:00:00,38042.63,39875.7,38033.66,39868.57
2022-02-28 15:00:00,39858.73,40862.06,39701.55,40837.87
2022-02-28 16:00:00,41000.0,41324.28,40756.47,41047.86
2022-02-28 17:00:00,41035.41,41482.74,40706.67,41482.74
2022-02-28 18:00:00,41456.13,41456.13,41040.06,41124.46
2022-02-28 19:00:00,41085.19,41380.34,41056.38,41341.45
2022-02-28 20:00:00,41384.16,41934.31,41285.04,41708.99
2022-02-28 21:00:00,41708.99,41760.25,41533.28,41698.31
2022-02-28 22:00:00,41829.46,44203.31,41755.11,42999.84
2022-02-28 23:00:00,43035.78,43343.15,42870.32,43188.7
2022-03-01 00:00:00,43195.12,43655.17,43173.74,43538.97
2022-03-01 01:00:00,43585.67,43585.67,43244.95,43280.66
2022-03-01 02:00:00,43244.95,43244.95,42998.99,43147.92
