datetime,ADAUSD_open,ADAUSD_high,ADAUSD_low,ADAUSD_close
2022-02-07 00:00:00,1.1438,1.146,1.1261,1.1403
2022-02-07 01:00:00,1.1405,1.1511,1.1343,1.1463
2022-02-07 02:00:00,1.1463,1.1709,1.146,1.1591
2022-02-07 03:00:00,1.1594,1.1763,1.1588,1.1616
2022-02-07 04:00:00,1.1615,1.1677,1.1563,1.1603
2022-02-07 05:00:00,1.1606,1.1657,1.1512,1.1602
2022-02-07 06:00:00,1.1603,1.1679,1.1577,1.1655
2022-02-07 07:00:00,1.1656,1.1672,1.155,1.1651
2022-02-07 08:00:00,1.1652,1.1958,1.1603,1.1879
2022-02-07 09:00:00,1.1877,1.1881,1.163,1.1814
2022-02-07 10:00:00,1.1816,1.1875,1.1693,1.1803
2022-02-07 11:00:00,1.1802,1.1945,1.1777,1.1805
2022-02-07 12:00:00,1.1808,1.1854,1.1753,1.1815
2022-02-07 13:00:00,1.1813,1.193,1.1801,1.1899
2022-02-07 14:00:00,1.1899,1.21,1.1847,1.2055
2022-02-07 15:00:00,1.2054,1.2084,1.1863,1.2058
2022-02-07 16:00:00,1.2055,1.21,1.186,1.1907
2022-02-07 17:00:00,1.1907,1.2045,1.18,1.2007
2022-02-07 18:00:00,1.201,1.2031,1.1739,1.1809
2022-02-07 19:00:00,1.1813,1.195,1.1792,1.1869
2022-02-07 20:00:00,1.1868,1.1958,1.1817,1.1906
2022-02-07 21:00:00,1.1904,1.1928,1.1807,1.1888
2022-02-07 22:00:00,1.1887,1.2078,1.1872,1.2037
2022-02-07 23:00:00,1.2038,1.208,1.1896,1.1991
2022-02-08 00:00:00,1.1991,1.2543,1.1842,1.2362
2022-02-08 01:00:00,1.2362,1.2524,1.234,1.2513
2022-02-08 02:00:00,1.2512,1.2515,1.229,1.2367
2022-02-08 03:00:00,1.2367,1.2421,1.2262,1.2421
2022-02-08 04:00:00,1.2421,1.2429,1.2305,1.2413
2022-02-08 05:00:00,1.2412,1.2487,1.238,1.2457
