datetime,ETHBUSD_open,ETHBUSD_high,ETHBUSD_low,ETHBUSD_close
2022-01-18 16:00:00,3124.43,3169.99,3119.16,3163.7
2022-01-18 17:00:00,3163.81,3193.87,3155.79,3179.87
2022-01-18 18:00:00,3179.87,3182.6,3158.19,3160.87
2022-01-18 19:00:00,3160.87,3170.38,3144.58,3154.03
2022-01-18 20:00:00,3154.04,3174.98,3154.04,3171.91
2022-01-18 21:00:00,3171.9,3176.09,3151.9,3158.77
2022-01-18 22:00:00,3158.77,3159.18,3089.04,3100.04
2022-01-18 23:00:00,3100.04,3114.56,3097.98,3102.03
2022-01-19 00:00:00,3102.02,3114.75,3099.16,3106.88
2022-01-19 01:00:00,3106.88,3111.64,3090.43,3100.82
2022-01-19 02:00:00,3100.82,3100.82,3048.01,3062.27
2022-01-19 03:00:00,3062.27,3070.82,3047.23,3064.79
2022-01-19 04:00:00,3064.79,3092.87,3061.01,3087.0
2022-01-19 05:00:00,3086.88,3089.02,3051.74,3078.94
2022-01-19 06:00:00,3078.69,3130.0,3077.06,3118.12
2022-01-19 07:00:00,3118.12,3133.27,3112.68,3119.88
2022-01-19 08:00:00,3120.0,3144.28,3116.92,3124.3
2022-01-19 09:00:00,3124.3,3162.0,3111.71,3158.99
2022-01-19 10:00:00,3159.0,3161.59,3115.0,3124.12
2022-01-19 11:00:00,3124.04,3132.82,3083.73,3101.59
2022-01-19 12:00:00,3101.3,3159.02,3100.72,3152.01
2022-01-19 13:00:00,3152.01,3157.6,3127.6,3137.14
2022-01-19 14:00:00,3137.14,3141.48,3116.27,3129.02
2022-01-19 15:00:00,3129.27,3139.38,3104.28,3109.08
2022-01-19 16:00:00,3109.09,3127.57,3109.09,3114.32
2022-01-19 17:00:00,3114.42,3130.39,3105.92,3127.69
2022-01-19 18:00:00,3127.96,3128.47,3083.51,3085.12
2022-01-19 19:00:00,3085.11,3123.13,3084.82,3114.12
2022-01-19 20:00:00,3113.91,3120.82,3094.45,3113.42
2022-01-19 21:00:00,3113.51,3130.9,3113.51,3123.67
2022-01-19 22:00:00,3123.81,3132.93,3117.0,3126.05
2022-01-19 23:00:00,3126.1,3137.11,3122.01,3125.38
2022-01-20 00:00:00,3125.24,3132.75,3112.61,3128.86
2022-01-20 01:00:00,3128.79,3148.08,3128.32,3145.65
2022-01-20 02:00:00,3145.48,3154.89,3135.99,3139.05
2022-01-20 03:00:00,3139.28,3143.22,3123.49,3130.59
2022-01-20 04:00:00,3130.91,3148.94,3117.85,3144.82
2022-01-20 05:00:00,3145.01,3149.0,3135.31,3140.4
2022-01-20 06:00:00,3140.4,3155.17,3140.4,3152.61
2022-01-20 07:00:00,3152.61,3153.42,3128.15,3136.43
2022-01-20 08:00:00,3136.36,3183.18,3133.25,3182.42
2022-01-20 09:00:00,3182.41,3224.0,3182.41,3220.4
2022-01-20 10:00:00,3220.4,3270.52,3218.4,3261.31
2022-01-20 11:00:00,3261.9,3272.7,3239.06,3246.46
2022-01-20 12:00:00,3246.75,3251.71,3226.2,3233.17
