datetime,XRPTUSD_open,XRPTUSD_high,XRPTUSD_low,XRPTUSD_close
2022-05-09 06:00:00,0.5326,0.535,0.5326,0.535
2022-05-09 07:00:00,0.535,0.535,0.535,0.535
2022-05-09 08:00:00,0.535,0.5465,0.535,0.5388
2022-05-09 09:00:00,0.5319,0.5357,0.5301,0.5347
2022-05-09 10:00:00,0.524,0.525,0.5238,0.525
2022-05-09 11:00:00,0.5294,0.5294,0.5125,0.5149
2022-05-09 12:00:00,0.5126,0.522,0.5029,0.5171
2022-05-09 13:00:00,0.5014,0.5044,0.4698,0.4901
2022-05-09 14:00:00,0.4899,0.4901,0.4779,0.4896
2022-05-09 15:00:00,0.4924,0.5084,0.4924,0.4991
2022-05-09 16:00:00,0.5137,0.5137,0.5137,0.5137
2022-05-09 17:00:00,0.5056,0.5069,0.5056,0.5069
2022-05-09 18:00:00,0.5053,0.5065,0.4897,0.4921
2022-05-09 19:00:00,0.4907,0.5024,0.4739,0.5012
2022-05-09 20:00:00,0.4972,0.5046,0.4972,0.5022
2022-05-09 21:00:00,0.4963,0.5055,0.4947,0.5054
2022-05-09 22:00:00,0.5049,0.505,0.4998,0.4998
2022-05-09 23:00:00,0.4995,0.5113,0.4995,0.5113
2022-05-10 00:00:00,0.5129,0.5186,0.5119,0.5186
2022-05-10 01:00:00,0.5325,0.5325,0.5325,0.5325
2022-05-10 02:00:00,0.5284,0.5284,0.5218,0.5247
2022-05-10 03:00:00,0.5171,0.5208,0.5156,0.5208
2022-05-10 04:00:00,0.5208,0.5208,0.5153,0.5153
2022-05-10 05:00:00,0.5153,0.5153,0.5153,0.5153
2022-05-10 06:00:00,0.5209,0.5209,0.5209,0.5209
2022-05-10 07:00:00,0.5271,0.5287,0.5271,0.5287
2022-05-10 08:00:00,0.5295,0.5295,0.5295,0.5295
2022-05-10 09:00:00,0.516,0.516,0.516,0.516
2022-05-10 10:00:00,0.5138,0.5159,0.5103,0.5159
2022-05-10 11:00:00,0.5135,0.5135,0.5135,0.5135
2022-05-10 12:00:00,0.5135,0.5135,0.5135,0.5135
2022-05-10 13:00:00,0.5135,0.5135,0.5135,0.5135
2022-05-10 14:00:00,0.5221,0.5221,0.5168,0.5168
2022-05-10 15:00:00,0.5155,0.5155,0.5155,0.5155
2022-05-10 16:00:00,0.5076,0.5076,0.4984,0.4984
2022-05-10 17:00:00,0.507,0.507,0.5004,0.5031
2022-05-10 18:00:00,0.5138,0.5138,0.5138,0.5138
2022-05-10 19:00:00,0.5148,0.5148,0.5148,0.5148
2022-05-10 20:00:00,0.5096,0.5096,0.5096,0.5096
2022-05-10 21:00:00,0.5159,0.5159,0.5159,0.5159
2022-05-10 22:00:00,0.5159,0.5159,0.5159,0.5159
2022-05-10 23:00:00,0.5159,0.5159,0.5159,0.5159
2022-05-11 00:00:00,0.51,0.5158,0.51,0.515
2022-05-11 01:00:00,0.5162,0.5162,0.498,0.498
