datetime,BIFIBUSD_open,BIFIBUSD_high,BIFIBUSD_low,BIFIBUSD_close
2022-01-10 19:00:00,1140.9,1140.9,1138.6,1138.6
2022-01-10 20:00:00,1137.1,1141.7,1137.1,1140.6
2022-01-10 21:00:00,1144.4,1155.0,1144.4,1152.3
2022-01-10 22:00:00,1152.5,1158.7,1152.4,1158.7
2022-01-10 23:00:00,1159.1,1163.9,1157.1,1163.9
2022-01-11 00:00:00,1163.9,1163.9,1160.0,1160.0
2022-01-11 01:00:00,1162.4,1173.9,1162.4,1173.9
2022-01-11 02:00:00,1169.5,1177.3,1168.1,1175.2
2022-01-11 03:00:00,1177.3,1204.5,1177.3,1198.1
2022-01-11 04:00:00,1198.0,1202.0,1190.8,1195.1
2022-01-11 05:00:00,1195.1,1197.4,1185.9,1185.9
2022-01-11 06:00:00,1190.9,1202.8,1169.8,1183.7
2022-01-11 07:00:00,1183.7,1194.8,1183.7,1194.8
2022-01-11 08:00:00,1194.8,1195.5,1185.5,1185.5
2022-01-11 09:00:00,1185.5,1190.2,1179.9,1181.0
2022-01-11 10:00:00,1183.2,1198.3,1183.1,1190.0
2022-01-11 11:00:00,1193.9,1237.6,1189.9,1226.0
2022-01-11 12:00:00,1229.5,1239.3,1214.8,1214.8
2022-01-11 13:00:00,1219.6,1219.6,1213.8,1213.8
2022-01-11 14:00:00,1212.5,1216.2,1200.0,1211.5
2022-01-11 15:00:00,1216.2,1218.4,1211.4,1216.0
2022-01-11 16:00:00,1217.2,1218.0,1204.4,1206.0
2022-01-11 17:00:00,1205.8,1213.3,1205.8,1213.3
2022-01-11 18:00:00,1214.2,1215.0,1211.9,1212.1
2022-01-11 19:00:00,1214.9,1219.3,1214.9,1216.0
2022-01-11 20:00:00,1215.1,1219.1,1215.1,1217.0
2022-01-11 21:00:00,1219.0,1220.4,1217.0,1220.4
2022-01-11 22:00:00,1217.5,1218.2,1209.4,1209.4
2022-01-11 23:00:00,1212.5,1215.0,1208.0,1208.0
2022-01-12 00:00:00,1210.1,1220.4,1209.8,1215.8
2022-01-12 01:00:00,1214.9,1220.4,1214.9,1220.4
2022-01-12 02:00:00,1220.4,1222.8,1216.3,1217.8
2022-01-12 03:00:00,1217.8,1219.1,1214.4,1214.4
2022-01-12 04:00:00,1216.9,1222.8,1215.3,1217.9
2022-01-12 05:00:00,1217.9,1227.0,1211.0,1213.6
2022-01-12 06:00:00,1215.0,1225.0,1214.7,1219.5
2022-01-12 07:00:00,1222.1,1229.9,1217.5,1229.9
2022-01-12 08:00:00,1227.9,1248.2,1222.9,1244.5
2022-01-12 09:00:00,1242.3,1250.0,1239.5,1248.5
2022-01-12 10:00:00,1245.9,1250.0,1237.6,1243.5
2022-01-12 11:00:00,1244.3,1244.3,1235.1,1237.9
2022-01-12 12:00:00,1238.5,1250.0,1236.8,1242.6
2022-01-12 13:00:00,1244.5,1250.0,1241.2,1243.7
2022-01-12 14:00:00,1246.2,1251.0,1243.1,1245.0
2022-01-12 15:00:00,1247.5,1255.3,1245.0,1252.5
2022-01-12 16:00:00,1255.4,1259.5,1251.0,1259.5
2022-01-12 17:00:00,1259.5,1261.6,1248.9,1256.0
2022-01-12 18:00:00,1256.0,1260.8,1251.0,1260.8
2022-01-12 19:00:00,1260.6,1261.4,1254.5,1254.5
2022-01-12 20:00:00,1254.7,1254.7,1244.6,1244.6
